mass                     intensity                relative
1.000000000000000000e+01 5.700000000000000000e+01 1.024326864499526508e-04
1.100000000000000000e+01 3.000000000000000000e+00 5.391194023681718551e-06
1.200000000000000000e+01 6.100000000000000000e+02 1.096209451481949381e-03
1.300000000000000000e+01 7.340000000000000000e+02 1.319045471127460421e-03
1.400000000000000000e+01 6.142000000000000000e+03 1.103757123115103704e-02
1.500000000000000000e+01 3.026400000000000000e+04 5.438636531090117188e-02
1.600000000000000000e+01 2.181000000000000000e+03 3.919398055216609215e-03
1.700000000000000000e+01 1.242000000000000000e+04 2.231954325804231393e-02
1.800000000000000000e+01 6.245400000000000000e+04 1.122338771850060063e-01
1.910000000000000142e+01 1.860000000000000000e+03 3.342540294682665170e-03
2.010000000000000142e+01 3.830000000000000000e+02 6.882757703566993492e-04
2.110000000000000142e+01 6.500000000000000000e+01 1.168092038464372336e-04
2.210000000000000142e+01 1.350000000000000000e+02 2.426037310656773229e-04
2.310000000000000142e+01 5.000000000000000000e+01 8.985323372802863913e-05
2.410000000000000142e+01 1.880000000000000000e+02 3.378481588173877026e-04
2.510000000000000142e+01 9.780000000000000000e+02 1.757529251720240217e-03
2.610000000000000142e+01 7.259000000000000000e+03 1.304489247263519724e-02
2.700000000000000000e+01 3.788700000000000000e+04 6.808538932507642027e-02
2.800000000000000000e+01 4.940200000000000000e+04 8.877858905264141010e-02
2.900000000000000000e+01 5.554700000000000000e+04 9.982155147781612836e-02
3.000000000000000000e+01 3.098000000000000000e+03 5.567306361788654755e-03
3.100000000000000000e+01 1.991300000000000000e+05 3.578494886452468493e-01
3.200000000000000000e+01 1.832100000000000000e+04 3.292402190262425088e-02
3.300000000000000000e+01 8.140000000000000000e+02 1.462810645092306331e-03
3.400000000000000000e+01 1.540000000000000000e+02 2.767479598823282291e-04
3.500000000000000000e+01 1.300000000000000000e+01 2.336184076928744536e-05
3.600000000000000000e+01 2.060000000000000000e+02 3.701953229594779834e-04
3.700000000000000000e+01 2.654000000000000000e+03 4.769409646283760511e-03
3.800000000000000000e+01 5.759000000000000000e+03 1.034929546079433813e-02
3.900000000000000000e+01 4.154600000000000000e+04 7.466084896929355008e-02
4.000000000000000000e+01 7.538000000000000000e+03 1.354627351683759806e-02
4.100000000000000000e+01 1.564260000000000000e+05 2.811076387828121415e-01
4.200000000000000000e+01 1.713500000000000000e+04 3.079270319859541555e-02
4.300000000000000000e+01 7.545400000000000000e+04 1.355957179542934543e-01
4.400000000000000000e+01 1.103600000000000000e+04 1.983240574845047954e-02
4.500000000000000000e+01 3.898000000000000000e+03 7.004958101437112547e-03
4.600000000000000000e+01 9.000000000000000000e+01 1.617358207104515396e-04
4.700000000000000000e+01 2.100000000000000000e+01 3.773835816577202816e-05
4.800000000000000000e+01 6.500000000000000000e+01 1.168092038464372336e-04
4.900000000000000000e+01 6.600000000000000000e+02 1.186062685209978047e-03
5.000000000000000000e+01 2.591000000000000000e+03 4.656194571786444365e-03
5.100000000000000000e+01 2.884000000000000000e+03 5.182734521432691768e-03
5.200000000000000000e+01 6.460000000000000000e+02 1.160903779766129943e-03
5.300000000000000000e+01 3.132000000000000000e+03 5.628406560723713849e-03
5.400000000000000000e+01 7.300000000000000000e+02 1.311857212429218137e-03
5.500000000000000000e+01 9.752000000000000000e+03 1.752497470631470683e-02
5.600000000000000000e+01 1.203900000000000000e+04 2.163486161703473409e-02
5.700000000000000000e+01 4.826000000000000000e+04 8.672634119429324662e-02
5.800000000000000000e+01 8.662000000000000000e+03 1.556617421104368112e-02
5.900000000000000000e+01 5.564630000000000000e+05 1.000000000000000000e+00
6.000000000000000000e+01 1.894700000000000000e+04 3.404898438889917417e-02
6.100000000000000000e+01 1.343000000000000000e+03 2.413457857934849394e-03
6.200000000000000000e+01 2.100000000000000000e+01 3.773835816577202816e-05
6.300000000000000000e+01 3.000000000000000000e+00 5.391194023681718551e-06
6.400000000000000000e+01 -4.000000000000000000e+01 -7.188258698242291401e-05
6.500000000000000000e+01 2.600000000000000000e+01 4.672368153857489072e-05
6.600000000000000000e+01 6.600000000000000000e+01 1.186062685209978047e-04
6.700000000000000000e+01 3.400000000000000000e+01 6.110019893505947352e-05
6.800000000000000000e+01 -8.000000000000000000e+00 -1.437651739648458280e-05
6.900000000000000000e+01 1.540000000000000000e+02 2.767479598823282291e-04
7.000000000000000000e+01 5.000000000000000000e+01 8.985323372802863913e-05
7.100000000000000000e+01 3.700000000000000000e+02 6.649139295874118699e-04
7.200000000000000000e+01 1.050000000000000000e+02 1.886917908288601340e-04
7.300000000000000000e+01 5.700000000000000000e+01 1.024326864499526508e-04
7.400000000000000000e+01 7.000000000000000000e+01 1.257945272192400894e-04
7.500000000000000000e+01 8.000000000000000000e+00 1.437651739648458280e-05
7.600000000000000000e+01 -1.100000000000000000e+01 -1.976771142016629966e-05
7.700000000000000000e+01 -3.000000000000000000e+01 -5.391194023681718212e-05
7.800000000000000000e+01 3.800000000000000000e+01 6.828845763330175815e-05
7.900000000000000000e+01 2.400000000000000000e+01 4.312955218945374841e-05
8.000000000000000000e+01 1.130000000000000000e+02 2.030683082253447304e-04
8.100000000000000000e+01 4.100000000000000000e+01 7.367965165698348517e-05
8.200000000000000000e+01 4.400000000000000000e+01 7.907084568066519864e-05
8.300000000000000000e+01 2.900000000000000000e+01 5.211487556225661097e-05
8.400000000000000000e+01 -1.300000000000000000e+01 -2.336184076928744536e-05
8.500000000000000000e+01 7.800000000000000000e+01 1.401710446157246857e-04
8.600000000000000000e+01 -6.000000000000000000e+00 -1.078238804736343710e-05
8.700000000000000000e+01 -6.200000000000000000e+01 -1.114180098227555066e-04
8.800000000000000000e+01 3.400000000000000000e+01 6.110019893505947352e-05
8.900000000000000000e+01 8.600000000000000000e+01 1.545475620122092550e-04
9.000000000000000000e+01 -1.400000000000000000e+01 -2.515890544384801990e-05
9.100000000000000000e+01 6.000000000000000000e+00 1.078238804736343710e-05
9.200000000000000000e+01 6.500000000000000000e+01 1.168092038464372336e-04
9.300000000000000000e+01 1.400000000000000000e+01 2.515890544384801990e-05
9.400000000000000000e+01 3.900000000000000000e+01 7.008552230786234286e-05
9.500000000000000000e+01 7.900000000000000000e+01 1.419681092902852569e-04
9.600000000000000000e+01 1.350000000000000000e+02 2.426037310656773229e-04
9.700000000000000000e+01 1.100000000000000000e+01 1.976771142016629966e-05
9.800000000000000000e+01 2.600000000000000000e+01 4.672368153857489072e-05
9.900000000000000000e+01 7.300000000000000000e+01 1.311857212429218028e-04
1.000000000000000000e+02 2.100000000000000000e+01 3.773835816577202816e-05
1.010000000000000000e+02 2.900000000000000000e+01 5.211487556225661097e-05
1.020000000000000000e+02 8.600000000000000000e+01 1.545475620122092550e-04
1.030000000000000000e+02 4.700000000000000000e+01 8.446203970434692566e-05
1.040000000000000000e+02 -1.100000000000000000e+01 -1.976771142016629966e-05
1.050000000000000000e+02 6.500000000000000000e+01 1.168092038464372336e-04
1.060000000000000000e+02 9.500000000000000000e+01 1.707211440832544225e-04
1.070000000000000000e+02 2.200000000000000000e+01 3.953542284033259932e-05
1.080000000000000000e+02 6.000000000000000000e+00 1.078238804736343710e-05
1.090000000000000000e+02 3.600000000000000000e+01 6.469432828418061584e-05
1.100000000000000000e+02 7.900000000000000000e+01 1.419681092902852569e-04
1.110000000000000000e+02 6.500000000000000000e+01 1.168092038464372336e-04
1.120000000000000000e+02 4.400000000000000000e+01 7.907084568066519864e-05
1.130000000000000000e+02 1.110000000000000000e+02 1.994741788762235881e-04
1.140000000000000000e+02 1.800000000000000000e+01 3.234716414209030792e-05
1.150000000000000000e+02 3.100000000000000000e+01 5.570900491137775328e-05
1.160000000000000000e+02 1.400000000000000000e+01 2.515890544384801990e-05
1.170000000000000000e+02 1.210000000000000000e+02 2.174448256218292996e-04
1.180000000000000000e+02 8.200000000000000000e+01 1.473593033139669703e-04
1.190000000000000000e+02 1.300000000000000000e+01 2.336184076928744536e-05
1.200000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.210000000000000000e+02 5.000000000000000000e+01 8.985323372802863913e-05
1.220000000000000000e+02 -3.000000000000000000e+00 -5.391194023681718551e-06
1.230000000000000000e+02 2.100000000000000000e+01 3.773835816577202816e-05
1.240000000000000000e+02 -8.000000000000000000e+00 -1.437651739648458280e-05
1.250000000000000000e+02 5.400000000000000000e+01 9.704149242627092375e-05
1.260000000000000000e+02 3.000000000000000000e+01 5.391194023681718212e-05
1.270000000000000000e+02 2.900000000000000000e+01 5.211487556225661097e-05
1.280000000000000000e+02 7.300000000000000000e+01 1.311857212429218028e-04
1.290000000000000000e+02 4.200000000000000000e+01 7.547671633154405633e-05
1.300000000000000000e+02 1.020000000000000000e+02 1.833005968051784206e-04
1.310000000000000000e+02 3.000000000000000000e+00 5.391194023681718551e-06
1.320000000000000000e+02 -2.000000000000000000e+00 -3.594129349121145701e-06
1.330000000000000000e+02 5.000000000000000000e+01 8.985323372802863913e-05
1.340000000000000000e+02 -2.200000000000000000e+01 -3.953542284033259932e-05
1.350000000000000000e+02 2.600000000000000000e+01 4.672368153857489072e-05
1.360000000000000000e+02 5.000000000000000000e+01 8.985323372802863913e-05
1.370000000000000000e+02 5.700000000000000000e+01 1.024326864499526508e-04
1.380000000000000000e+02 9.000000000000000000e+01 1.617358207104515396e-04
1.390000000000000000e+02 4.700000000000000000e+01 8.446203970434692566e-05
1.400000000000000000e+02 1.800000000000000000e+01 3.234716414209030792e-05
1.410000000000000000e+02 -1.400000000000000000e+01 -2.515890544384801990e-05
1.420000000000000000e+02 2.000000000000000000e+00 3.594129349121145701e-06
1.430000000000000000e+02 4.600000000000000000e+01 8.266497502978634095e-05
1.440000000000000000e+02 2.100000000000000000e+01 3.773835816577202816e-05
1.450000000000000000e+02 1.800000000000000000e+01 3.234716414209030792e-05
1.460000000000000000e+02 -6.000000000000000000e+00 -1.078238804736343710e-05
1.470000000000000000e+02 -6.600000000000000000e+01 -1.186062685209978047e-04
1.480000000000000000e+02 2.200000000000000000e+01 3.953542284033259932e-05
1.490000000000000000e+02 7.900000000000000000e+01 1.419681092902852569e-04
1.500000000000000000e+02 2.900000000000000000e+01 5.211487556225661097e-05
