Ret.Time, min	Absolute Intensity, A.U.	Relative Intensity
9.100	10879	0.06
9.106	10497	0.06
9.111	11202	0.06
9.117	10935	0.06
9.122	11379	0.06
9.128	11766	0.06
9.133	11601	0.06
9.139	11746	0.06
9.144	11665	0.06
9.149	11186	0.06
9.155	11211	0.06
9.161	11708	0.06
9.166	12092	0.06
9.172	12016	0.06
9.177	11516	0.06
9.183	11697	0.06
9.188	11310	0.06
9.194	11580	0.06
9.199	11550	0.06
9.205	12383	0.07
9.210	11587	0.06
9.216	11972	0.06
9.221	11780	0.06
9.226	12297	0.06
9.232	11872	0.06
9.238	11651	0.06
9.243	10535	0.06
9.248	10628	0.06
9.254	10562	0.06
9.260	10487	0.06
9.265	9246	0.05
9.271	9960	0.05
9.276	9957	0.05
9.282	8654	0.05
9.287	8570	0.05
9.293	8314	0.04
9.298	8524	0.04
9.303	8144	0.04
9.309	8238	0.04
9.315	7632	0.04
9.320	9277	0.05
9.325	8751	0.05
9.331	8560	0.05
9.337	8844	0.05
9.342	8434	0.04
9.348	9468	0.05
9.353	9179	0.05
9.359	8816	0.05
9.364	8960	0.05
9.370	8795	0.05
9.375	9272	0.05
9.380	9739	0.05
9.386	8163	0.04
9.392	7817	0.04
9.397	7659	0.04
9.402	7435	0.04
9.408	8463	0.04
9.414	7777	0.04
9.419	8154	0.04
9.425	8093	0.04
9.430	8064	0.04
9.436	7520	0.04
9.441	7868	0.04
9.447	7304	0.04
9.452	7839	0.04
9.457	7205	0.04
9.463	7809	0.04
9.469	6832	0.04
9.474	7454	0.04
9.479	6720	0.04
9.485	7684	0.04
9.491	6693	0.04
9.496	7441	0.04
9.502	6902	0.04
9.507	7467	0.04
9.513	7615	0.04
9.518	7246	0.04
9.524	6386	0.03
9.529	6694	0.04
9.535	6903	0.04
9.540	6982	0.04
9.546	6941	0.04
9.551	6756	0.04
9.556	7072	0.04
9.562	7097	0.04
9.568	7213	0.04
9.573	6356	0.03
9.579	7271	0.04
9.584	6682	0.04
9.590	6987	0.04
9.595	7298	0.04
9.601	7096	0.04
9.606	7016	0.04
9.612	7151	0.04
9.617	6649	0.03
9.623	6081	0.03
9.628	6479	0.03
9.633	6675	0.04
9.639	6800	0.04
9.645	6573	0.03
9.650	6161	0.03
9.656	6896	0.04
9.661	6230	0.03
9.667	6572	0.03
9.672	6659	0.04
9.678	7032	0.04
9.683	6818	0.04
9.689	6978	0.04
9.694	6289	0.03
9.700	6431	0.03
9.705	6809	0.04
9.710	6741	0.04
9.716	6626	0.03
9.722	7022	0.04
9.727	6120	0.03
9.732	6590	0.03
9.738	6893	0.04
9.744	6537	0.03
9.749	6315	0.03
9.755	6896	0.04
9.760	6989	0.04
9.766	6747	0.04
9.771	6784	0.04
9.777	6937	0.04
9.782	6494	0.03
9.787	6357	0.03
9.793	6432	0.03
9.799	6505	0.03
9.804	6299	0.03
9.809	6861	0.04
9.815	6552	0.03
9.821	6612	0.03
9.826	6989	0.04
9.832	6330	0.03
9.837	7122	0.04
9.843	6357	0.03
9.848	7006	0.04
9.854	6645	0.03
9.859	6315	0.03
9.864	6662	0.04
9.870	6045	0.03
9.876	6487	0.03
9.881	6888	0.04
9.886	6504	0.03
9.892	6128	0.03
9.898	6239	0.03
9.903	6441	0.03
9.909	6697	0.04
9.914	6380	0.03
9.920	6318	0.03
9.925	6565	0.03
9.931	6345	0.03
9.936	6737	0.04
9.942	6691	0.04
9.947	6830	0.04
9.953	6386	0.03
9.958	6109	0.03
9.963	6123	0.03
9.969	6265	0.03
9.975	5971	0.03
9.980	6590	0.03
9.986	6416	0.03
9.991	6600	0.03
9.997	6710	0.04
10.002	6718	0.04
10.008	7114	0.04
10.013	6309	0.03
10.019	6750	0.04
10.024	6868	0.04
10.030	6426	0.03
10.035	6374	0.03
10.041	6451	0.03
10.046	6565	0.03
10.052	6421	0.03
10.057	6440	0.03
10.063	6813	0.04
10.068	6996	0.04
10.074	6421	0.03
10.079	6946	0.04
10.085	7041	0.04
10.090	6574	0.03
10.096	6296	0.03
10.101	5938	0.03
10.107	6486	0.03
10.112	6459	0.03
10.118	6165	0.03
10.123	6130	0.03
10.129	6960	0.04
10.134	7290	0.04
10.140	6642	0.03
10.145	6761	0.04
10.151	6594	0.03
10.156	6616	0.03
10.162	6911	0.04
10.167	6760	0.04
10.173	6264	0.03
10.178	6928	0.04
10.184	6471	0.03
10.189	6728	0.04
10.195	6589	0.03
10.200	6649	0.03
10.206	6589	0.03
10.211	6476	0.03
10.217	6523	0.03
10.222	6321	0.03
10.228	6402	0.03
10.233	6133	0.03
10.239	7002	0.04
10.244	6075	0.03
10.250	6418	0.03
10.255	6024	0.03
10.261	6161	0.03
10.266	6535	0.03
10.272	6231	0.03
10.277	6488	0.03
10.283	6349	0.03
10.288	6099	0.03
10.294	6573	0.03
10.299	6754	0.04
10.305	6692	0.04
10.310	6271	0.03
10.316	6220	0.03
10.321	6132	0.03
10.327	6786	0.04
10.332	6214	0.03
10.338	6285	0.03
10.343	6574	0.03
10.349	6597	0.03
10.354	6247	0.03
10.360	6605	0.03
10.365	6486	0.03
10.371	6979	0.04
10.376	6323	0.03
10.382	6911	0.04
10.387	6368	0.03
10.393	6227	0.03
10.398	6460	0.03
10.404	6412	0.03
10.409	6395	0.03
10.415	6014	0.03
10.420	6455	0.03
10.426	5960	0.03
10.431	6632	0.03
10.437	6319	0.03
10.442	6638	0.03
10.448	6461	0.03
10.453	6444	0.03
10.459	6592	0.03
10.464	5950	0.03
10.470	6034	0.03
10.475	6317	0.03
10.481	6602	0.03
10.486	6722	0.04
10.492	6691	0.04
10.497	6163	0.03
10.503	6029	0.03
10.508	6597	0.03
10.514	6234	0.03
10.519	6639	0.03
10.525	6395	0.03
10.530	6590	0.03
10.536	6120	0.03
10.541	5903	0.03
10.547	6738	0.04
10.552	5939	0.03
10.558	6789	0.04
10.563	6021	0.03
10.569	6229	0.03
10.574	6805	0.04
10.580	6141	0.03
10.585	6417	0.03
10.591	6105	0.03
10.596	6233	0.03
10.602	6432	0.03
10.607	6978	0.04
10.613	6066	0.03
10.618	6045	0.03
10.624	6618	0.03
10.629	6711	0.04
10.635	6572	0.03
10.640	6720	0.04
10.646	6554	0.03
10.651	6800	0.04
10.657	6485	0.03
10.662	6905	0.04
10.668	6564	0.03
10.673	6935	0.04
10.679	6224	0.03
10.684	6272	0.03
10.690	6152	0.03
10.695	6461	0.03
10.701	6533	0.03
10.706	6228	0.03
10.712	6172	0.03
10.717	6221	0.03
10.723	6146	0.03
10.728	6357	0.03
10.734	5651	0.03
10.739	6426	0.03
10.745	6198	0.03
10.750	6011	0.03
10.756	6165	0.03
10.761	6291	0.03
10.767	6594	0.03
10.772	6262	0.03
10.778	6371	0.03
10.783	6326	0.03
10.789	6250	0.03
10.794	5813	0.03
10.800	6750	0.04
10.805	6540	0.03
10.811	6037	0.03
10.816	6420	0.03
10.822	6808	0.04
10.827	6925	0.04
10.833	6231	0.03
10.838	6062	0.03
10.844	5923	0.03
10.849	6241	0.03
10.855	6107	0.03
10.860	6254	0.03
10.866	6237	0.03
10.871	6551	0.03
10.877	5893	0.03
10.882	6353	0.03
10.888	6371	0.03
10.893	6131	0.03
10.899	6461	0.03
10.904	5852	0.03
10.910	6628	0.03
10.915	5800	0.03
10.921	5815	0.03
10.926	6533	0.03
10.932	6408	0.03
10.937	6481	0.03
10.943	6329	0.03
10.948	5742	0.03
10.954	6312	0.03
10.959	6338	0.03
10.965	6356	0.03
10.970	6153	0.03
10.976	6036	0.03
10.981	6153	0.03
10.987	6049	0.03
10.992	6064	0.03
10.998	6531	0.03
11.003	6595	0.03
11.009	6439	0.03
11.014	7123	0.04
11.020	6644	0.03
11.025	6144	0.03
11.031	6493	0.03
11.036	6522	0.03
11.042	6191	0.03
11.047	6466	0.03
11.053	6931	0.04
11.058	6483	0.03
11.064	6292	0.03
11.069	6052	0.03
11.075	6357	0.03
11.080	6595	0.03
11.086	6006	0.03
11.091	5969	0.03
11.097	6931	0.04
11.102	6105	0.03
11.108	6416	0.03
11.113	6631	0.03
11.119	6737	0.04
11.124	5971	0.03
11.130	6895	0.04
11.135	6141	0.03
11.141	6936	0.04
11.146	6536	0.03
11.152	5806	0.03
11.157	6620	0.03
11.163	6300	0.03
11.168	5844	0.03
11.174	5561	0.03
11.179	6086	0.03
11.185	6005	0.03
11.190	6330	0.03
11.196	6340	0.03
11.201	5886	0.03
11.207	5813	0.03
11.212	6123	0.03
11.218	6174	0.03
11.223	6277	0.03
11.229	6166	0.03
11.234	6430	0.03
11.240	5981	0.03
11.245	6441	0.03
11.251	6371	0.03
11.256	6309	0.03
11.262	6308	0.03
11.267	5973	0.03
11.273	6502	0.03
11.278	6533	0.03
11.284	6263	0.03
11.289	6273	0.03
11.295	6384	0.03
11.300	6462	0.03
11.306	6408	0.03
11.311	5898	0.03
11.317	6306	0.03
11.322	6295	0.03
11.328	6486	0.03
11.333	6562	0.03
11.339	5901	0.03
11.344	6349	0.03
11.350	5714	0.03
11.355	6189	0.03
11.361	5848	0.03
11.366	6008	0.03
11.372	5949	0.03
11.377	6837	0.04
11.383	6113	0.03
11.388	6450	0.03
11.394	5600	0.03
11.399	6480	0.03
11.405	6439	0.03
11.410	6203	0.03
11.416	6224	0.03
11.421	6796	0.04
11.427	6178	0.03
11.432	6065	0.03
11.438	6148	0.03
11.443	6588	0.03
11.449	6134	0.03
11.454	6455	0.03
11.460	6370	0.03
11.465	6362	0.03
11.471	6259	0.03
11.476	5868	0.03
11.482	6291	0.03
11.487	6187	0.03
11.493	6210	0.03
11.498	5900	0.03
11.504	6471	0.03
11.509	6226	0.03
11.515	6217	0.03
11.520	6043	0.03
11.526	6214	0.03
11.531	6078	0.03
11.537	6349	0.03
11.542	6421	0.03
11.548	6640	0.03
11.553	5949	0.03
11.559	6112	0.03
11.564	6150	0.03
11.570	6210	0.03
11.575	6257	0.03
11.581	6048	0.03
11.586	6002	0.03
11.592	6455	0.03
11.597	6335	0.03
11.603	6515	0.03
11.608	6328	0.03
11.614	5885	0.03
11.619	5977	0.03
11.625	6496	0.03
11.630	6600	0.03
11.636	6230	0.03
11.641	6437	0.03
11.647	6177	0.03
11.652	6009	0.03
11.658	6003	0.03
11.663	6397	0.03
11.669	6712	0.04
11.674	5984	0.03
11.680	5839	0.03
11.685	6448	0.03
11.691	6524	0.03
11.696	6560	0.03
11.702	6493	0.03
11.707	6557	0.03
11.713	5978	0.03
11.718	6358	0.03
11.724	6591	0.03
11.729	6758	0.04
11.735	6354	0.03
11.740	5814	0.03
11.746	6339	0.03
11.751	6423	0.03
11.757	6473	0.03
11.762	6338	0.03
11.768	6381	0.03
11.773	6248	0.03
11.779	6652	0.04
11.784	6520	0.03
11.790	6355	0.03
11.795	6046	0.03
11.801	6112	0.03
11.806	6230	0.03
11.812	5829	0.03
11.817	6181	0.03
11.823	6478	0.03
11.828	5990	0.03
11.834	5892	0.03
11.839	6360	0.03
11.845	6296	0.03
11.850	6272	0.03
11.856	6100	0.03
11.861	6187	0.03
11.867	5891	0.03
11.872	5923	0.03
11.878	5970	0.03
11.883	6221	0.03
11.889	5781	0.03
11.894	6104	0.03
11.900	6305	0.03
11.905	6215	0.03
11.911	6089	0.03
11.916	6301	0.03
11.922	6483	0.03
11.927	6461	0.03
11.933	6562	0.03
11.938	6367	0.03
11.944	6580	0.03
11.949	6021	0.03
11.955	6170	0.03
11.960	6024	0.03
11.966	6104	0.03
11.971	6217	0.03
11.977	6141	0.03
11.982	5579	0.03
11.988	5808	0.03
11.993	5928	0.03
11.999	6021	0.03
12.004	6328	0.03
12.010	5934	0.03
12.015	6448	0.03
12.021	6720	0.04
12.026	6037	0.03
12.032	6805	0.04
12.037	6615	0.03
12.043	6360	0.03
12.048	6507	0.03
12.054	6021	0.03
12.059	5855	0.03
12.065	6336	0.03
12.070	6288	0.03
12.076	6018	0.03
12.081	6116	0.03
12.087	5784	0.03
12.092	6251	0.03
12.098	5788	0.03
12.103	6208	0.03
12.109	5837	0.03
12.114	6000	0.03
12.120	6255	0.03
12.125	5601	0.03
12.131	6194	0.03
12.136	6130	0.03
12.142	6317	0.03
12.147	6635	0.03
12.153	5692	0.03
12.158	6510	0.03
12.164	5852	0.03
12.169	6165	0.03
12.175	6042	0.03
12.180	6034	0.03
12.186	5581	0.03
12.191	6280	0.03
12.197	5741	0.03
12.202	6050	0.03
12.208	6176	0.03
12.213	6000	0.03
12.219	5854	0.03
12.224	6158	0.03
12.230	5929	0.03
12.235	6032	0.03
12.241	6353	0.03
12.246	5736	0.03
12.252	5638	0.03
12.257	6361	0.03
12.263	6506	0.03
12.268	6091	0.03
12.274	5965	0.03
12.279	6437	0.03
12.285	6416	0.03
12.290	6625	0.03
12.296	6517	0.03
12.301	6349	0.03
12.307	6259	0.03
12.312	5954	0.03
12.318	6665	0.04
12.323	5910	0.03
12.329	6120	0.03
12.334	6019	0.03
12.340	6272	0.03
12.345	5591	0.03
12.351	6258	0.03
12.356	6128	0.03
12.362	6371	0.03
12.367	6020	0.03
12.373	6330	0.03
12.378	6315	0.03
12.384	6237	0.03
12.389	6147	0.03
12.395	6227	0.03
12.400	5875	0.03
12.406	5955	0.03
12.411	6080	0.03
12.417	6358	0.03
12.422	5838	0.03
12.428	6528	0.03
12.433	6244	0.03
12.439	6180	0.03
12.444	6410	0.03
12.450	6681	0.04
12.455	5938	0.03
12.461	6054	0.03
12.466	6122	0.03
12.472	6440	0.03
12.477	5920	0.03
12.483	6133	0.03
12.488	5606	0.03
12.494	6540	0.03
12.499	6054	0.03
12.505	6262	0.03
12.510	6055	0.03
12.516	5512	0.03
12.521	5724	0.03
12.527	6190	0.03
12.532	5404	0.03
12.538	5763	0.03
12.543	6081	0.03
12.549	6399	0.03
12.554	5561	0.03
12.560	6042	0.03
12.565	5735	0.03
12.571	6424	0.03
