#Time,"P(t), Reactive, bar","P'(t), Reactive, bar/ms","P(t), Non-Reactive, bar"
-30.0000000,3.2363000,-0.0638100,3.2868000
-29.9900000,3.2363000,-0.1116700,3.2836000
-29.9800000,3.2331000,0.0159530,3.2820000
-29.9700000,3.2379000,0.0159540,3.2804000
-29.9600000,3.2347000,0.2233400,3.2804000
-29.9500000,3.2379000,0.0159540,3.2804000
-29.9400000,3.2395000,0.0638130,3.2788000
-29.9300000,3.2411000,0.0797660,3.2804000
-29.9200000,3.2395000,0.0319070,3.2836000
-29.9100000,3.2379000,-0.0319040,3.2884000
-29.9000000,3.2411000,0.1435700,3.2884000
-29.8900000,3.2411000,0.2392900,3.2884000
-29.8800000,3.2427000,0.0797620,3.2836000
-29.8700000,3.2475000,0.0957160,3.2836000
-29.8600000,3.2475000,0.2233400,3.2820000
-29.8500000,3.2459000,0.0957160,3.2836000
-29.8400000,3.2475000,0.1754800,3.2868000
-29.8300000,3.2523000,0.2392900,3.2852000
-29.8200000,3.2538000,0.2392900,3.2884000
-29.8100000,3.2570000,0.1435700,3.2868000
-29.8000000,3.2570000,-0.0159520,3.2884000
-29.7900000,3.2570000,0.0797630,3.2868000
-29.7800000,3.2570000,-0.0797640,3.2852000
-29.7700000,3.2538000,-0.0638110,3.2900000
-29.7600000,3.2586000,-0.0159540,3.2884000
-29.7500000,3.2538000,0.1754800,3.2884000
-29.7400000,3.2554000,-0.0159540,3.2868000
-29.7300000,3.2586000,0.1754800,3.2868000
-29.7200000,3.2602000,0.0797610,3.2852000
-29.7100000,3.2602000,-0.0478580,3.2836000
-29.7000000,3.2602000,-0.0797640,3.2836000
-29.6900000,3.2570000,-0.1276200,3.2820000
-29.6800000,3.2554000,-0.1754800,3.2868000
-29.6700000,3.2554000,-0.0319050,3.2868000
-29.6600000,3.2538000,-0.0159520,3.2836000
-29.6500000,3.2538000,-0.0797630,3.2836000
-29.6400000,3.2554000,-0.0319050,3.2788000
-29.6300000,3.2538000,0.0000000,3.2772000
-29.6200000,3.2523000,-0.0957150,3.2740000
-29.6100000,3.2523000,-0.1435700,3.2725000
-29.6000000,3.2523000,0.0319050,3.2709000
-29.5900000,3.2507000,-0.0797630,3.2740000
-29.5800000,3.2491000,-0.0478580,3.2756000
-29.5700000,3.2523000,0.0159520,3.2725000
-29.5600000,3.2491000,0.0159540,3.2756000
-29.5500000,3.2507000,-0.1435700,3.2772000
-29.5400000,3.2507000,-0.0957160,3.2756000
-29.5300000,3.2475000,-0.1276200,3.2772000
-29.5200000,3.2459000,-0.0638100,3.2740000
-29.5100000,3.2443000,0.0319050,3.2740000
-29.5000000,3.2459000,0.0319050,3.2740000
-29.4900000,3.2491000,0.0159520,3.2756000
-29.4800000,3.2491000,0.1116700,3.2740000
-29.4700000,3.2475000,-0.0478580,3.2725000
-29.4600000,3.2459000,-0.0159520,3.2772000
-29.4500000,3.2491000,0.0478580,3.2756000
-29.4400000,3.2475000,0.0159530,3.2788000
-29.4300000,3.2491000,-0.0319050,3.2820000
-29.4200000,3.2491000,-0.0478600,3.2836000
-29.4100000,3.2459000,-0.0000010,3.2836000
-29.4000000,3.2475000,-0.0319070,3.2820000
-29.3900000,3.2459000,0.0638100,3.2820000
-29.3800000,3.2491000,0.0957150,3.2820000
-29.3700000,3.2491000,0.0319050,3.2804000
-29.3600000,3.2491000,-0.0638110,3.2788000
-29.3500000,3.2507000,-0.1116700,3.2756000
-29.3400000,3.2459000,0.0638100,3.2788000
-29.3300000,3.2459000,-0.0797630,3.2788000
-29.3200000,3.2459000,0.0319060,3.2820000
-29.3100000,3.2507000,0.1116700,3.2804000
-29.3000000,3.2491000,0.1914300,3.2804000
-29.2900000,3.2491000,0.0797640,3.2788000
-29.2800000,3.2523000,0.0957160,3.2756000
-29.2700000,3.2538000,0.2073800,3.2772000
-29.2600000,3.2554000,0.1914300,3.2772000
-29.2500000,3.2554000,0.0638110,3.2772000
-29.2400000,3.2586000,0.1595300,3.2788000
-29.2300000,3.2602000,0.1435700,3.2772000
-29.2200000,3.2586000,0.2073800,3.2756000
-29.2100000,3.2634000,0.1595300,3.2740000
-29.2000000,3.2634000,0.1914300,3.2788000
-29.1900000,3.2682000,0.1116700,3.2820000
-29.1800000,3.2682000,0.0638110,3.2820000
-29.1700000,3.2666000,0.0638110,3.2884000
-29.1600000,3.2682000,0.0319060,3.2852000
-29.1500000,3.2666000,0.1754800,3.2900000
-29.1400000,3.2714000,0.0000010,3.2900000
-29.1300000,3.2714000,0.1595300,3.2868000
-29.1200000,3.2730000,0.0159530,3.2836000
-29.1100000,3.2698000,-0.1116700,3.2820000
-29.1000000,3.2714000,-0.1754800,3.2804000
-29.0900000,3.2698000,-0.0797640,3.2804000
-29.0800000,3.2650000,-0.2073900,3.2804000
-29.0700000,3.2650000,-0.2392900,3.2804000
-29.0600000,3.2634000,-0.3031000,3.2820000
-29.0500000,3.2602000,-0.2712000,3.2820000
-29.0400000,3.2570000,-0.2392900,3.2836000
-29.0300000,3.2507000,-0.1435700,3.2852000
-29.0200000,3.2523000,-0.3350100,3.2884000
-29.0100000,3.2523000,-0.2073800,3.2884000
-29.0000000,3.2507000,-0.1435700,3.2852000
-28.9900000,3.2427000,-0.2073800,3.2820000
-28.9800000,3.2411000,-0.2073900,3.2756000
-28.9700000,3.2443000,-0.0638100,3.2740000
-28.9600000,3.2427000,0.0159510,3.2804000
-28.9500000,3.2427000,-0.2552400,3.2756000
-28.9400000,3.2395000,-0.1595300,3.2740000
-28.9300000,3.2379000,-0.1595300,3.2772000
-28.9200000,3.2331000,-0.1914300,3.2788000
-28.9100000,3.2347000,-0.0957160,3.2804000
-28.9000000,3.2347000,-0.1116700,3.2820000
-28.8900000,3.2315000,-0.1116700,3.2852000
-28.8800000,3.2331000,0.0000005,3.2900000
-28.8700000,3.2283000,0.0797650,3.2932000
-28.8600000,3.2315000,0.1276200,3.2916000
-28.8500000,3.2363000,0.2073900,3.2916000
-28.8400000,3.2363000,0.0478580,3.2884000
-28.8300000,3.2395000,-0.2392900,3.2852000
-28.8200000,3.2347000,-0.0957150,3.2852000
-28.8100000,3.2299000,-0.1116700,3.2836000
-28.8000000,3.2267000,-0.1435700,3.2820000
-28.7900000,3.2315000,0.0797630,3.2836000
-28.7800000,3.2347000,0.1914300,3.2900000
-28.7700000,3.2315000,0.0478580,3.2884000
-28.7600000,3.2347000,-0.1595300,3.2836000
-28.7500000,3.2331000,0.0797640,3.2868000
-28.7400000,3.2315000,-0.0478560,3.2868000
-28.7300000,3.2299000,-0.1595300,3.2852000
