#1000/Tc Tig Error Vpro
#sBuOH
1.2390  131.82  7.8700  68.912
1.2250  87.550  2.2100  57.264
1.2090  62.030  0.9300  44.812
1.1950  44.330  0.6300  35.601
1.1780  31.760  0.8500  26.949
1.1630  23.410  1.0500  21.548
1.1500  19.080  0.6200  17.473


#iBuOH
1.2259  112.55  5.3500  84.301
1.2124  73.520  3.5100  62.648
1.1980  49.790  3.0700  48.002
1.1823  34.600  1.2100  34.683
1.1683  24.490  1.5300  27.998


#nBuOH
1.3797  66.760  3.9500  63.504
1.3564  49.800  2.1600  49.077
1.3186  36.160  1.1900  33.955
1.2749  28.640  1.6900  19.580
1.2706  23.240  0.85000 19.774
1.2256  20.640  0.75000 12.003
1.2107  17.600  1.4500  10.330
1.1923  15.320  1.1600  8.9908


#tBuOH
1.2503  175.28  7.7400  109.70
1.2379  135.81  2.3100  92.474
1.2189  99.080  3.7900  75.683
1.2068  71.410  3.1100  69.196
1.1939  56.530  2.3700  58.084
1.1739  45.310  2.1200  45.170
