#Time,800K,Time,811K,Time,822K,Time,828K,Time,838K,Time,853K,Time,Nonreac
-28.700,0.88136,-28.350,0.83068,-29.680,0.79040,-31.400,0.74281,-32.300,0.70763,-33.700,0.65051,-30.000,0.84215
-28.690,0.88182,-28.340,0.83083,-29.670,0.79055,-31.390,0.74296,-32.290,0.70763,-33.690,0.65051,-29.990,0.84261
-28.680,0.88152,-28.330,0.83068,-29.660,0.79009,-31.380,0.74281,-32.280,0.70763,-33.680,0.65051,-29.980,0.84329
-28.670,0.88152,-28.320,0.83114,-29.650,0.79040,-31.370,0.74281,-32.270,0.70763,-33.670,0.65066,-29.970,0.84375
-28.660,0.88197,-28.310,0.83160,-29.640,0.79055,-31.360,0.74281,-32.260,0.70763,-33.660,0.65081,-29.960,0.84421
-28.650,0.88258,-28.300,0.83205,-29.630,0.79070,-31.350,0.74296,-32.250,0.70763,-33.650,0.65127,-29.950,0.84375
-28.640,0.88243,-28.290,0.83236,-29.620,0.79101,-31.340,0.74311,-32.240,0.70763,-33.640,0.65173,-29.940,0.84490
-28.630,0.88243,-28.280,0.83251,-29.610,0.79101,-31.330,0.74311,-32.230,0.70793,-33.630,0.65188,-29.930,0.84490
-28.620,0.88274,-28.270,0.83297,-29.600,0.79086,-31.320,0.74342,-32.220,0.70824,-33.620,0.65234,-29.920,0.84421
-28.610,0.88304,-28.260,0.83327,-29.590,0.79055,-31.310,0.74357,-32.210,0.70900,-33.610,0.65265,-29.910,0.84398
-28.600,0.88319,-28.250,0.83312,-29.580,0.79070,-31.300,0.74372,-32.200,0.70916,-33.600,0.65265,-29.900,0.84284
-28.590,0.88335,-28.240,0.83312,-29.570,0.79070,-31.290,0.74357,-32.190,0.70916,-33.590,0.65280,-29.890,0.84284
-28.580,0.88350,-28.230,0.83343,-29.560,0.79101,-31.280,0.74372,-32.180,0.70931,-33.580,0.65280,-29.880,0.84329
-28.570,0.88350,-28.220,0.83358,-29.550,0.79132,-31.270,0.74403,-32.170,0.70946,-33.570,0.65295,-29.870,0.84421
-28.560,0.88396,-28.210,0.83327,-29.540,0.79101,-31.260,0.74418,-32.160,0.70992,-33.560,0.65295,-29.860,0.84512
-28.550,0.88411,-28.200,0.83327,-29.530,0.79070,-31.250,0.74433,-32.150,0.71007,-33.550,0.65310,-29.850,0.84673
-28.540,0.88411,-28.190,0.83343,-29.520,0.79177,-31.240,0.74449,-32.140,0.71038,-33.540,0.65310,-29.840,0.84741
-28.530,0.88365,-28.180,0.83388,-29.510,0.79132,-31.230,0.74449,-32.130,0.71053,-33.530,0.65326,-29.830,0.84833
-28.520,0.88426,-28.170,0.83419,-29.500,0.79132,-31.220,0.74449,-32.120,0.71083,-33.520,0.65417,-29.820,0.84879
-28.510,0.88426,-28.160,0.83434,-29.490,0.79116,-31.210,0.74464,-32.110,0.71053,-33.510,0.65448,-29.810,0.84924
-28.500,0.88365,-28.150,0.83434,-29.480,0.79132,-31.200,0.74494,-32.100,0.71038,-33.500,0.65463,-29.800,0.84856
-28.490,0.88365,-28.140,0.83449,-29.470,0.79116,-31.190,0.74494,-32.090,0.71083,-33.490,0.65478,-29.790,0.84856
-28.480,0.88380,-28.130,0.83480,-29.460,0.79162,-31.180,0.74525,-32.080,0.71114,-33.480,0.65478,-29.780,0.84810
-28.470,0.88396,-28.120,0.83510,-29.450,0.79147,-31.170,0.74540,-32.070,0.71190,-33.470,0.65478,-29.770,0.84764
-28.460,0.88396,-28.110,0.83495,-29.440,0.79086,-31.160,0.74586,-32.060,0.71205,-33.460,0.65493,-29.760,0.84741
-28.450,0.88350,-28.100,0.83495,-29.430,0.79070,-31.150,0.74586,-32.050,0.71221,-33.450,0.65493,-29.750,0.84810
-28.440,0.88335,-28.090,0.83495,-29.420,0.79086,-31.140,0.74586,-32.040,0.71190,-33.440,0.65509,-29.740,0.84810
-28.430,0.88380,-28.080,0.83526,-29.410,0.79086,-31.130,0.74601,-32.030,0.71205,-33.430,0.65539,-29.730,0.84902
-28.420,0.88396,-28.070,0.83510,-29.400,0.79101,-31.120,0.74601,-32.020,0.71236,-33.420,0.65554,-29.720,0.85039
-28.410,0.88411,-28.060,0.83480,-29.390,0.79193,-31.110,0.74586,-32.010,0.71236,-33.410,0.65585,-29.710,0.84970
