#Time,792K,Time,823K,Time,860K,Time,897K,Time,912K,Time,Nonreactive
-35.000,2.3117,-35.000,1.9740,-35.000,1.6517,-35.000,1.3841,-35.000,1.2901,-27.800,2.3989
-34.990,2.3112,-34.990,1.9738,-34.990,1.6517,-34.990,1.3836,-34.990,1.2901,-27.790,2.3993
-34.980,2.3108,-34.980,1.9710,-34.980,1.6517,-34.980,1.3836,-34.980,1.2905,-27.780,2.4000
-34.970,2.3108,-34.970,1.9703,-34.970,1.6514,-34.970,1.3841,-34.970,1.2908,-27.770,2.4014
-34.960,2.3101,-34.960,1.9703,-34.960,1.6510,-34.960,1.3839,-34.960,1.2910,-27.760,2.4021
-34.950,2.3099,-34.950,1.9699,-34.950,1.6507,-34.950,1.3836,-34.950,1.2910,-27.750,2.4028
-34.940,2.3101,-34.940,1.9697,-34.940,1.6514,-34.940,1.3836,-34.940,1.2905,-27.740,2.4042
-34.930,2.3096,-34.930,1.9701,-34.930,1.6507,-34.930,1.3846,-34.930,1.2901,-27.730,2.4055
-34.920,2.3087,-34.920,1.9699,-34.920,1.6503,-34.920,1.3843,-34.920,1.2903,-27.720,2.4069
-34.910,2.3069,-34.910,1.9699,-34.910,1.6501,-34.910,1.3846,-34.910,1.2905,-27.710,2.4071
-34.900,2.3071,-34.900,1.9703,-34.900,1.6498,-34.900,1.3846,-34.900,1.2908,-27.700,2.4085
-34.890,2.3083,-34.890,1.9701,-34.890,1.6498,-34.890,1.3843,-34.890,1.2908,-27.690,2.4090
-34.880,2.3080,-34.880,1.9703,-34.880,1.6496,-34.880,1.3841,-34.880,1.2910,-27.680,2.4094
-34.870,2.3073,-34.870,1.9710,-34.870,1.6491,-34.870,1.3841,-34.870,1.2905,-27.670,2.4103
-34.860,2.3071,-34.860,1.9706,-34.860,1.6487,-34.860,1.3841,-34.860,1.2908,-27.660,2.4103
-34.850,2.3073,-34.850,1.9703,-34.850,1.6487,-34.850,1.3841,-34.850,1.2903,-27.650,2.4115
-34.840,2.3066,-34.840,1.9710,-34.840,1.6489,-34.840,1.3841,-34.840,1.2903,-27.640,2.4133
-34.830,2.3062,-34.830,1.9703,-34.830,1.6491,-34.830,1.3836,-34.830,1.2905,-27.630,2.4145
-34.820,2.3064,-34.820,1.9706,-34.820,1.6489,-34.820,1.3846,-34.820,1.2908,-27.620,2.4156
-34.810,2.3055,-34.810,1.9703,-34.810,1.6491,-34.810,1.3846,-34.810,1.2908,-27.610,2.4161
-34.800,2.3053,-34.800,1.9701,-34.800,1.6491,-34.800,1.3850,-34.800,1.2908,-27.600,2.4154
-34.790,2.3057,-34.790,1.9706,-34.790,1.6489,-34.790,1.3848,-34.790,1.2910,-27.590,2.4154
-34.780,2.3064,-34.780,1.9717,-34.780,1.6489,-34.780,1.3846,-34.780,1.2910,-27.580,2.4163
-34.770,2.3069,-34.770,1.9724,-34.770,1.6491,-34.770,1.3843,-34.770,1.2905,-27.570,2.4165
-34.760,2.3069,-34.760,1.9722,-34.760,1.6496,-34.760,1.3843,-34.760,1.2903,-27.560,2.4165
-34.750,2.3073,-34.750,1.9729,-34.750,1.6505,-34.750,1.3850,-34.750,1.2903,-27.550,2.4165
-34.740,2.3073,-34.740,1.9724,-34.740,1.6496,-34.740,1.3852,-34.740,1.2905,-27.540,2.4167
-34.730,2.3073,-34.730,1.9722,-34.730,1.6498,-34.730,1.3839,-34.730,1.2908,-27.530,2.4174
-34.720,2.3083,-34.720,1.9724,-34.720,1.6501,-34.720,1.3839,-34.720,1.2910,-27.520,2.4181
-34.710,2.3101,-34.710,1.9726,-34.710,1.6494,-34.710,1.3843,-34.710,1.2908,-27.510,2.4181
-34.700,2.3101,-34.700,1.9726,-34.700,1.6496,-34.700,1.3846,-34.700,1.2903,-27.500,2.4181
-34.690,2.3094,-34.690,1.9729,-34.690,1.6494,-34.690,1.3846,-34.690,1.2905,-27.490,2.4195
-34.680,2.3096,-34.680,1.9724,-34.680,1.6494,-34.680,1.3848,-34.680,1.2901,-27.480,2.4197
-34.670,2.3103,-34.670,1.9731,-34.670,1.6498,-34.670,1.3848,-34.670,1.2901,-27.470,2.4193
-34.660,2.3108,-34.660,1.9736,-34.660,1.6505,-34.660,1.3852,-34.660,1.2901,-27.460,2.4199
-34.650,2.3110,-34.650,1.9738,-34.650,1.6503,-34.650,1.3852,-34.650,1.2905,-27.450,2.4202
-34.640,2.3108,-34.640,1.9738,-34.640,1.6503,-34.640,1.3852,-34.640,1.2908,-27.440,2.4193
-34.630,2.3103,-34.630,1.9742,-34.630,1.6505,-34.630,1.3855,-34.630,1.2905,-27.430,2.4188
-34.620,2.3108,-34.620,1.9738,-34.620,1.6507,-34.620,1.3852,-34.620,1.2903,-27.420,2.4181
-34.610,2.3124,-34.610,1.9745,-34.610,1.6501,-34.610,1.3855,-34.610,1.2901,-27.410,2.4186
-34.600,2.3124,-34.600,1.9747,-34.600,1.6501,-34.600,1.3852,-34.600,1.2899,-27.400,2.4202
-34.590,2.3103,-34.590,1.9752,-34.590,1.6501,-34.590,1.3859,-34.590,1.2896,-27.390,2.4206
