#1000/Tc Tig Error VPRO
#phi=1.0
1.3730  155.86  8.4100  138.00
1.3320  85.670  2.1600  70.729
1.2870  49.490  2.1000  39.222
1.2340  25.550  1.2700  22.830
1.1680  9.2200  0.72000 12.196


#phi=0.5
1.2630  136.25  9.3100  95.663
1.2160  60.810  10.240  49.018
1.1630  27.090  1.8900  27.712
1.1150  12.670  0.73000 14.728
1.0960  9.5900  0.79000 11.874


#phi=2.0
1.4010  114.34  4.4200  120.57
1.3530  57.400  1.8200  46.454
1.3080  31.440  0.62000 23.961
1.2760  20.460  0.29000 15.831
1.2340  12.570  0.37000 9.7725
