Time-Expt, Pres-Expt,  Time-Sim,   Pres-Sim, Time-NR,    Pres-NR
-33.00,    2.5490,    -33.00000,   2.5490,  -33.00000,   2.5490
-32.95,    2.5500,    -32.90000,   2.5487,  -32.90000,   2.5487
-32.90,    2.5507,    -32.79900,   2.5503,  -32.79900,   2.5503
-32.85,    2.5488,    -32.66100,   2.5500,  -32.66100,   2.5500
-32.80,    2.5504,    -32.49900,   2.5486,  -32.49900,   2.5486
-32.75,    2.5500,    -32.39500,   2.5480,  -32.39500,   2.5480
-32.70,    2.5497,    -32.19800,   2.5497,  -32.19800,   2.5497
-32.65,    2.5518,    -32.00000,   2.5504,  -32.00000,   2.5504
-32.60,    2.5511,    -31.90000,   2.5497,  -31.90000,   2.5497
-32.55,    2.5504,    -31.79800,   2.5513,  -31.79800,   2.5513
-32.50,    2.5488,    -31.69800,   2.5506,  -31.69800,   2.5506
-32.45,    2.5493,    -31.50100,   2.5526,  -31.50100,   2.5526
-32.40,    2.5488,    -31.39800,   2.5522,  -31.39800,   2.5522
-32.35,    2.5479,    -31.21600,   2.5526,  -31.21600,   2.5526
-32.30,    2.5495,    -31.16000,   2.5515,  -31.16000,   2.5515
-32.25,    2.5481,    -31.02500,   2.5489,  -31.02500,   2.5489
-32.20,    2.5481,    -31.00000,   2.5487,  -31.00000,   2.5487
-32.15,    2.5497,    -30.90000,   2.5434,  -30.90000,   2.5434
-32.10,    2.5500,    -30.81300,   2.5514,  -30.81300,   2.5514
-32.05,    2.5504,    -30.79700,   2.5526,  -30.79700,   2.5526
-32.00,    2.5504,    -30.60000,   2.5487,  -30.60000,   2.5487
-31.95,    2.5504,    -30.50200,   2.5503,  -30.50200,   2.5503
-31.90,    2.5497,    -30.40000,   2.5531,  -30.40000,   2.5531
-31.85,    2.5511,    -30.30500,   2.5581,  -30.30500,   2.5581
-31.80,    2.5513,    -30.21400,   2.5550,  -30.21400,   2.5550
-31.75,    2.5504,    -30.12000,   2.5505,  -30.12000,   2.5505
-31.70,    2.5507,    -30.07200,   2.5513,  -30.07200,   2.5513
-31.65,    2.5495,    -29.99800,   2.5561,  -29.99800,   2.5561
-31.60,    2.5495,    -29.89900,   2.5543,  -29.89900,   2.5543
-31.55,    2.5516,    -29.80000,   2.5511,  -29.80000,   2.5511
-31.50,    2.5518,    -29.70000,   2.5552,  -29.70000,   2.5552
-31.45,    2.5527,    -29.60100,   2.5516,  -29.60100,   2.5516
-31.40,    2.5523,    -29.50100,   2.5524,  -29.50100,   2.5524
-31.35,    2.5523,    -29.40000,   2.5595,  -29.40000,   2.5595
-31.30,    2.5523,    -29.35900,   2.5555,  -29.35900,   2.5555
-31.25,    2.5527,    -29.29100,   2.5494,  -29.29100,   2.5494
