Time-Expt,  Pres-Expt,  Time-Sim,   Pres-Sim, Time-NR,  Pres-NR
-33.00,     2.573,      -33.000000, 2.5737, -33.0000,   2.5737
-32.95,     2.576,      -32.903000, 2.5819, -32.9030,   2.5819
-32.90,     2.578,      -32.800000, 2.5844, -32.8000,   2.5844
-32.85,     2.582,      -32.700000, 2.5840, -32.7000,   2.5840
-32.80,     2.584,      -32.600000, 2.5776, -32.6000,   2.5776
-32.75,     2.584,      -32.500000, 2.5762, -32.5000,   2.5762
-32.70,     2.584,      -32.400000, 2.5778, -32.4000,   2.5778
-32.65,     2.579,      -32.300000, 2.5727, -32.3000,   2.5727
-32.60,     2.580,      -32.200000, 2.5778, -32.2000,   2.5778
-32.55,     2.577,      -32.100000, 2.5826, -32.1000,   2.5826
-32.50,     2.576,      -32.000000, 2.5764, -32.0000,   2.5764
-32.45,     2.576,      -31.900000, 2.5762, -31.9000,   2.5762
-32.40,     2.575,      -31.795000, 2.5766, -31.7950,   2.5766
-32.35,     2.577,      -31.695000, 2.5764, -31.6950,   2.5764
-32.30,     2.572,      -31.595000, 2.5801, -31.5950,   2.5801
-32.25,     2.574,      -31.478000, 2.5795, -31.4780,   2.5795
-32.20,     2.576,      -31.331000, 2.5789, -31.3310,   2.5789
-32.15,     2.577,      -31.231000, 2.5803, -31.2310,   2.5803
-32.10,     2.582,      -31.164000, 2.5810, -31.1640,   2.5810
-32.05,     2.579,      -31.000000, 2.5810, -31.0000,   2.5810
-32.00,     2.578,      -30.898000, 2.5804, -30.8980,   2.5804
-31.95,     2.576,      -30.700000, 2.5819, -30.7000,   2.5819
-31.90,     2.576,      -30.599000, 2.5824, -30.5990,   2.5824
-31.85,     2.578,      -30.479000, 2.5811, -30.4790,   2.5811
-31.80,     2.576,      -30.391000, 2.5800, -30.3910,   2.5800
-31.75,     2.575,      -30.203000, 2.5815, -30.2030,   2.5815
-31.70,     2.576,      -30.087000, 2.5824, -30.0870,   2.5824
-31.65,     2.576,      -29.904000, 2.5820, -29.9040,   2.5820
-31.60,     2.577,      -29.800000, 2.5817, -29.8000,   2.5817
-31.55,     2.580,      -29.700000, 2.5801, -29.7000,   2.5801
-31.50,     2.579,      -29.600000, 2.5767, -29.6000,   2.5767
-31.45,     2.579,      -29.400000, 2.5762, -29.4000,   2.5762
-31.40,     2.579,      -29.300000, 2.5792, -29.3000,   2.5792
-31.35,     2.579,      -29.200000, 2.5828, -29.2000,   2.5828
-31.30,     2.578,      -29.100000, 2.5799, -29.1000,   2.5799
-31.25,     2.580,      -29.007000, 2.5877, -29.0070,   2.5877
-31.20,     2.581,      -29.000000, 2.5883, -29.0000,   2.5883
-31.15,     2.582,      -28.900000, 2.5911, -28.9000,   2.5911
-31.10,     2.583,      -28.802000, 2.5864, -28.8020,   2.5864
-31.05,     2.581,      -28.702000, 2.5852, -28.7020,   2.5852
-31.00,     2.581,      -28.597000, 2.5838, -28.5970,   2.5838
-30.95,     2.580,      -28.479000, 2.5862, -28.4790,   2.5862
-30.90,     2.580,      -28.301000, 2.5904, -28.3010,   2.5904
-30.85,     2.580,      -28.200000, 2.5927, -28.2000,   2.5927
-30.80,     2.581,      -28.098000, 2.5962, -28.0980,   2.5962
-30.75,     2.581,      -27.991000, 2.5975, -27.9910,   2.5975
-30.70,     2.581,      -27.874000, 2.6006, -27.8740,   2.6006
-30.65,     2.582,      -27.782000, 2.6056, -27.7820,   2.6056
-30.60,     2.583,      -27.605000, 2.6091, -27.6050,   2.6091
-30.55,     2.582,      -27.500000, 2.6110, -27.5000,   2.6110
-30.50,     2.581,      -27.402000, 2.6047, -27.4020,   2.6047
-30.45,     2.581,      -27.378000, 2.6063, -27.3780,   2.6063
-30.40,     2.579,      -27.296000, 2.6127, -27.2960,   2.6127
-30.35,     2.581,      -27.199000, 2.6138, -27.1990,   2.6138
-30.30,     2.580,      -27.100000, 2.6204, -27.1000,   2.6204
-30.25,     2.581,      -27.000000, 2.6307, -27.0000,   2.6307
-30.20,     2.581,      -26.900000, 2.6268, -26.9000,   2.6268
-30.15,     2.581,      -26.800000, 2.6302, -26.8000,   2.6302
-30.10,     2.583,      -26.701000, 2.6386, -26.7010,   2.6386
-30.05,     2.582,      -26.667000, 2.6402, -26.6670,   2.6402
-30.00,     2.582,      -26.479000, 2.6485, -26.4790,   2.6485
-29.95,     2.583,      -26.351000, 2.6557, -26.3510,   2.6557
-29.90,     2.581,      -26.295000, 2.6590, -26.2950,   2.6590
-29.85,     2.582,      -26.196000, 2.6616, -26.1960,   2.6616
-29.80,     2.582,      -26.034000, 2.6706, -26.0340,   2.6706
-29.75,     2.581,      -25.961000, 2.6738, -25.9610,   2.6738
-29.70,     2.580,      -25.800000, 2.6799, -25.8000,   2.6799
