Time-Expt, Pres-Expt, Time-Sim, Pres-Sim, Time-NR,     Pres-NR
-33.00,   2.8171,   -33.00000, 2.8171,  -33.000000, 2.8171
-32.95,   2.8162,   -32.90000, 2.8135,  -32.900000, 2.8135
-32.90,   2.8134,   -32.80100, 2.8131,  -32.801000, 2.8131
-32.85,   2.8134,   -32.70300, 2.8155,  -32.703000, 2.8155
-32.80,   2.8132,   -32.59900, 2.8188,  -32.599000, 2.8188
-32.75,   2.8134,   -32.49500, 2.8225,  -32.495000, 2.8225
-32.70,   2.8157,   -32.39800, 2.8241,  -32.398000, 2.8241
-32.65,   2.8171,   -32.29800, 2.8215,  -32.298000, 2.8215
-32.60,   2.8187,   -32.18000, 2.8220,  -32.180000, 2.8220
-32.55,   2.8187,   -32.09900, 2.8205,  -32.099000, 2.8205
-32.50,   2.8224,   -32.00000, 2.8105,  -32.000000, 2.8105
-32.45,   2.8226,   -31.89500, 2.8116,  -31.895000, 2.8116
-32.40,   2.8244,   -31.79700, 2.8174,  -31.797000, 2.8174
-32.35,   2.8242,   -31.50300, 2.8230,  -31.503000, 2.8230
-32.30,   2.8215,   -31.40000, 2.8228,  -31.400000, 2.8228
-32.25,   2.8228,   -31.30000, 2.8094,  -31.300000, 2.8094
-32.20,   2.8203,   -31.20000, 2.8120,  -31.200000, 2.8120
-32.15,   2.8224,   -31.14500, 2.8174,  -31.145000, 2.8174
-32.10,   2.8205,   -31.09400, 2.8217,  -31.094000, 2.8217
-32.05,   2.8157,   -31.00000, 2.8185,  -31.000000, 2.8185
-32.00,   2.8116,   -30.89800, 2.8191,  -30.898000, 2.8191
-31.95,   2.8105,   -30.79900, 2.8164,  -30.799000, 2.8164
-31.90,   2.8112,   -30.70000, 2.8168,  -30.700000, 2.8168
-31.85,   2.8134,   -30.59700, 2.8224,  -30.597000, 2.8224
-31.80,   2.8173,   -30.50000, 2.8167,  -30.500000, 2.8167
-31.75,   2.8189,   -30.40000, 2.8160,  -30.400000, 2.8160
-31.70,   2.8189,   -30.30000, 2.8219,  -30.300000, 2.8219
-31.65,   2.8169,   -30.20000, 2.8203,  -30.200000, 2.8203
-31.60,   2.8178,   -30.10900, 2.8144,  -30.109000, 2.8144
-31.55,   2.8210,   -30.00000, 2.8120,  -30.000000, 2.8120
-31.50,   2.8219,   -29.90400, 2.8137,  -29.904000, 2.8137
-31.45,   2.8231,   -29.83000, 2.8187,  -29.830000, 2.8187
-31.40,   2.8228,   -29.76000, 2.8214,  -29.760000, 2.8214
-31.35,   2.8105,   -29.50300, 2.8206,  -29.503000, 2.8206
-31.30,   2.8096,   -29.42400, 2.8249,  -29.424000, 2.8249
-31.25,   2.8091,   -29.39800, 2.8262,  -29.398000, 2.8262
-31.20,   2.8121,   -29.28600, 2.8224,  -29.286000, 2.8224
-31.15,   2.8205,   -29.19700, 2.8200,  -29.197000, 2.8200
-31.10,   2.8212,   -29.10000, 2.8228,  -29.100000, 2.8228
-31.05,   2.8219,   -29.00000, 2.8171,  -29.000000, 2.8171
-31.00,   2.8185,   -28.90000, 2.8180,  -28.900000, 2.8180
-30.95,   2.8180,   -28.80000, 2.8201,  -28.800000, 2.8201
-30.90,   2.8192,   -28.70000, 2.8265,  -28.700000, 2.8265
-30.85,   2.8187,   -28.60100, 2.8297,  -28.601000, 2.8297
-30.80,   2.8189,   -28.50000, 2.8295,  -28.500000, 2.8295
-30.75,   2.8164,   -28.40000, 2.8272,  -28.400000, 2.8272
-30.70,   2.8169,   -28.29900, 2.8233,  -28.299000, 2.8233
-30.65,   2.8176,   -28.17300, 2.8218,  -28.173000, 2.8218
