#"1000/T_C, 1/K"	Delay Overall, ms	Overall Error	Delay First Stage (ms)	First Stage Error	v9f Overall	v9f First Stage
1.4498	39.320	1.5100	?   	?   	18.737	18.000
1.3725	10.820	0.43000	?   	?   	5.5000	4.5000
1.3483	7.5700	0.07000	6.9300	0.07000	4.3096	2.7000
1.3148	5.3500	0.08000	4.4000	0.11000	3.7568	1.2000
1.2868	4.2600	0.13000	2.6900	0.20000	?   	?
1.2550	4.7000	0.25000	2.1100	0.24000	?   	?
1.2276	6.7900	0.34000	?   	?   	?   	?
1.1907	8.6600	0.12000	?   	?   	7.0426	?
1.1528	7.1000	0.21000	?   	?   	5.4950	?
1.1195	4.1200	0.11000	?   	?   	3.4694	?
