#T\dC\n	1000/T\dC\n (1/K)	First Stage (ms)	Overall (ms)
680.00	1.4706	61.200	65.000
693.00	1.4430	38.000	43.200
707.00	1.4144	25.350	32.600
736.00	1.3587	16.200	36.200
738.00	1.3550	15.000	37.500
754.00	1.3263	15.700	59.000
775.00	1.2903	nan   	82.100
775.00	1.2903	nan   	89.500
791.00	1.2642	nan   	114.00
791.00	1.2642	nan   	113.50
795.00	1.2579	nan   	110.05
796.00	1.2563	nan   	101.00
816.00	1.2255	nan   	113.00
816.00	1.2255	nan   	117.00
839.00	1.1919	nan   	108.00
871.00	1.1481	nan   	72.350
903.00	1.1074	nan   	29.750
903.00	1.1074	nan   	29.200
