,"690 K",,"728 K",,"759 K",,"854 K",,"866 K",,"899 K"
-28.00000000,4.37870000,-28.00000000,3.69950000,-28.00000000,3.24570000,-26.00000000,2.22110000,-26.00000000,2.12690000,-27.00000000,1.87940000
-27.90000000,4.38340000,-27.90000000,3.69790000,-27.90000000,3.24410000,-25.90000000,2.22910000,-25.90000000,2.13000000,-26.90000000,1.89220000
-27.80000000,4.39460000,-27.80000000,3.69790000,-27.80000000,3.23290000,-25.80000000,2.22750000,-25.80000000,2.13480000,-26.80000000,1.89380000
-27.70000000,4.39300000,-27.70000000,3.68360000,-27.70000000,3.23610000,-25.70000000,2.20990000,-25.70000000,2.13160000,-26.70000000,1.89540000
-27.60000000,4.37710000,-27.60000000,3.69000000,-27.60000000,3.25210000,-25.60000000,2.21310000,-25.60000000,2.11410000,-26.60000000,1.90180000
-27.50000000,4.37070000,-27.50000000,3.70430000,-27.50000000,3.25530000,-25.50000000,2.23070000,-25.50000000,2.10770000,-26.50000000,1.89060000
-27.40000000,4.38980000,-27.40000000,3.70430000,-27.40000000,3.23610000,-25.40000000,2.22430000,-25.40000000,2.10610000,-26.40000000,1.87940000
-27.30000000,4.39940000,-27.30000000,3.69470000,-27.30000000,3.22970000,-25.30000000,2.23870000,-25.30000000,2.11570000,-26.30000000,1.89700000
-27.20000000,4.38820000,-27.20000000,3.69630000,-27.20000000,3.25530000,-25.20000000,2.25780000,-25.20000000,2.13480000,-26.20000000,1.90980000
-27.10000000,4.38340000,-27.10000000,3.69160000,-27.10000000,3.26640000,-25.10000000,2.24180000,-25.10000000,2.13160000,-26.10000000,1.90980000
-27.00000000,4.37550000,-27.00000000,3.69630000,-27.00000000,3.25690000,-25.00000000,2.23390000,-25.00000000,2.12370000,-26.00000000,1.90980000
-26.90000000,4.37710000,-26.90000000,3.71070000,-26.90000000,3.24410000,-24.90000000,2.24180000,-24.90000000,2.11890000,-25.90000000,1.90660000
-26.80000000,4.39460000,-26.80000000,3.70270000,-26.80000000,3.23290000,-24.80000000,2.24660000,-24.80000000,2.12370000,-25.80000000,1.90820000
-26.70000000,4.39460000,-26.70000000,3.69000000,-26.70000000,3.23770000,-24.70000000,2.24180000,-24.70000000,2.13480000,-25.70000000,1.90500000
-26.60000000,4.39460000,-26.60000000,3.68360000,-26.60000000,3.24570000,-24.60000000,2.23390000,-24.60000000,2.14120000,-25.60000000,1.89060000
-26.50000000,4.39940000,-26.50000000,3.68360000,-26.50000000,3.24090000,-24.50000000,2.24340000,-24.50000000,2.13960000,-25.50000000,1.87630000
-26.40000000,4.39940000,-26.40000000,3.69000000,-26.40000000,3.23930000,-24.40000000,2.24180000,-24.40000000,2.13320000,-25.40000000,1.87630000
-26.30000000,4.39460000,-26.30000000,3.70430000,-26.30000000,3.25370000,-24.30000000,2.23230000,-24.30000000,2.13640000,-25.30000000,1.89060000
-26.20000000,4.37870000,-26.20000000,3.70590000,-26.20000000,3.26160000,-24.20000000,2.23550000,-24.20000000,2.13800000,-25.20000000,1.89860000
-26.10000000,4.38340000,-26.10000000,3.70270000,-26.10000000,3.25210000,-24.10000000,2.23230000,-24.10000000,2.14600000,-25.10000000,1.89540000
-26.00000000,4.40740000,-26.00000000,3.71230000,-26.00000000,3.24730000,-24.00000000,2.23390000,-24.00000000,2.15240000,-25.00000000,1.89860000
-25.90000000,4.41060000,-25.90000000,3.71710000,-25.90000000,3.24570000,-23.90000000,2.23550000,-23.90000000,2.15400000,-24.90000000,1.89220000
-25.80000000,4.41060000,-25.80000000,3.70910000,-25.80000000,3.24410000,-23.80000000,2.23070000,-23.80000000,2.14600000,-24.80000000,1.89700000
-25.70000000,4.42330000,-25.70000000,3.70430000,-25.70000000,3.24890000,-23.70000000,2.24820000,-23.70000000,2.14920000,-24.70000000,1.91290000
-25.60000000,4.42810000,-25.60000000,3.71550000,-25.60000000,3.24730000,-23.60000000,2.26580000,-23.60000000,2.16510000,-24.60000000,1.91140000
-25.50000000,4.42650000,-25.50000000,3.73140000,-25.50000000,3.24730000,-23.50000000,2.26260000,-23.50000000,2.15720000,-24.50000000,1.89380000
-25.40000000,4.42650000,-25.40000000,3.72510000,-25.40000000,3.25370000,-23.40000000,2.26100000,-23.40000000,2.16040000,-24.40000000,1.88580000
-25.30000000,4.43450000,-25.30000000,3.71230000,-25.30000000,3.25690000,-23.30000000,2.25940000,-23.30000000,2.18750000,-24.30000000,1.90020000
-25.20000000,4.43930000,-25.20000000,3.71870000,-25.20000000,3.25370000,-23.20000000,2.26260000,-23.20000000,2.19230000,-24.20000000,1.91140000
-25.10000000,4.43770000,-25.10000000,3.71710000,-25.10000000,3.25370000,-23.10000000,2.26100000,-23.10000000,2.17310000,-24.10000000,1.91140000
-25.00000000,4.44720000,-25.00000000,3.71710000,-25.00000000,3.26800000,-23.00000000,2.25780000,-23.00000000,2.17950000,-24.00000000,1.90660000
-24.90000000,4.45520000,-24.90000000,3.73140000,-24.90000000,3.28080000,-22.90000000,2.26740000,-22.90000000,2.19860000,-23.90000000,1.90180000
-24.80000000,4.45840000,-24.80000000,3.73300000,-24.80000000,3.28240000,-22.80000000,2.26740000,-22.80000000,2.20180000,-23.80000000,1.90980000
-24.70000000,4.46960000,-24.70000000,3.73940000,-24.70000000,3.27600000,-22.70000000,2.26900000,-22.70000000,2.20500000,-23.70000000,1.91450000
-24.60000000,4.49030000,-24.60000000,3.75380000,-24.60000000,3.26800000,-22.60000000,2.28330000,-22.60000000,2.21300000,-23.60000000,1.91610000
-24.50000000,4.49030000,-24.50000000,3.75220000,-24.50000000,3.26320000,-22.50000000,2.28970000,-22.50000000,2.21140000,-23.50000000,1.91610000
-24.40000000,4.49830000,-24.40000000,3.75540000,-24.40000000,3.27920000,-22.40000000,2.28810000,-22.40000000,2.21140000,-23.40000000,1.90500000
-24.30000000,4.50790000,-24.30000000,3.76650000,-24.30000000,3.29350000,-22.30000000,2.29770000,-22.30000000,2.22580000,-23.30000000,1.91930000
-24.20000000,4.50150000,-24.20000000,3.77610000,-24.20000000,3.28720000,-22.20000000,2.30730000,-22.20000000,2.22580000,-23.20000000,1.92890000
-24.10000000,4.51900000,-24.10000000,3.77610000,-24.10000000,3.28880000,-22.10000000,2.30880000,-22.10000000,2.22420000,-23.10000000,1.92250000
-24.00000000,4.54780000,-24.00000000,3.77290000,-24.00000000,3.29670000,-22.00000000,2.31200000,-22.00000000,2.24490000,-23.00000000,1.92890000
-23.90000000,4.55250000,-23.90000000,3.77450000,-23.90000000,3.30470000,-21.90000000,2.32160000,-21.90000000,2.25130000,-22.90000000,1.91770000
-23.80000000,4.54620000,-23.80000000,3.79210000,-23.80000000,3.31750000,-21.80000000,2.33120000,-21.80000000,2.25450000,-22.80000000,1.92890000
-23.70000000,4.56050000,-23.70000000,3.80000000,-23.70000000,3.30790000,-21.70000000,2.34230000,-21.70000000,2.26560000,-22.70000000,1.94960000
-23.60000000,4.57810000,-23.60000000,3.80160000,-23.60000000,3.31750000,-21.60000000,2.35190000,-21.60000000,2.26400000,-22.60000000,1.95600000
