,"691 K",,"713 K",,"743 K"
-30.00000000,4.36350000,-27.00000000,3.96910000,-27.00000000,3.48010000
-29.90000000,4.36030000,-26.90000000,3.96750000,-26.90000000,3.47210000
-29.80000000,4.36670000,-26.80000000,3.96110000,-26.80000000,3.49600000
-29.70000000,4.37470000,-26.70000000,3.95000000,-26.70000000,3.49130000
-29.60000000,4.35870000,-26.60000000,3.94840000,-26.60000000,3.47210000
-29.50000000,4.35550000,-26.50000000,3.95950000,-26.50000000,3.48010000
-29.40000000,4.36190000,-26.40000000,3.96270000,-26.40000000,3.49290000
-29.30000000,4.37150000,-26.30000000,3.96270000,-26.30000000,3.49450000
-29.20000000,4.37150000,-26.20000000,3.96910000,-26.20000000,3.49130000
-29.10000000,4.36670000,-26.10000000,3.97870000,-26.10000000,3.48970000
-29.00000000,4.36670000,-26.00000000,3.97550000,-26.00000000,3.48970000
-28.90000000,4.35390000,-25.90000000,3.96910000,-25.90000000,3.48970000
-28.80000000,4.36190000,-25.80000000,3.96270000,-25.80000000,3.49290000
-28.70000000,4.37310000,-25.70000000,3.95950000,-25.70000000,3.49290000
-28.60000000,4.37790000,-25.60000000,3.97550000,-25.60000000,3.50400000
-28.50000000,4.37310000,-25.50000000,3.98030000,-25.50000000,3.51520000
-28.40000000,4.35550000,-25.40000000,3.96590000,-25.40000000,3.50560000
-28.30000000,4.36030000,-25.30000000,3.95950000,-25.30000000,3.49130000
-28.20000000,4.37150000,-25.20000000,3.96590000,-25.20000000,3.48490000
-28.10000000,4.36990000,-25.10000000,3.96910000,-25.10000000,3.48970000
-28.00000000,4.37150000,-25.00000000,3.97390000,-25.00000000,3.48970000
-27.90000000,4.37630000,-24.90000000,3.98660000,-24.90000000,3.50720000
-27.80000000,4.37630000,-24.80000000,3.98190000,-24.80000000,3.52160000
-27.70000000,4.37310000,-24.70000000,3.97550000,-24.70000000,3.51520000
-27.60000000,4.36990000,-24.60000000,3.98980000,-24.60000000,3.51040000
-27.50000000,4.37470000,-24.50000000,4.00260000,-24.50000000,3.51040000
-27.40000000,4.37310000,-24.40000000,3.97230000,-24.40000000,3.51200000
-27.30000000,4.36510000,-24.30000000,3.96430000,-24.30000000,3.50880000
-27.20000000,4.36030000,-24.20000000,3.99620000,-24.20000000,3.51040000
-27.10000000,4.36670000,-24.10000000,4.00260000,-24.10000000,3.52640000
-27.00000000,4.37150000,-24.00000000,4.01060000,-24.00000000,3.54550000
-26.90000000,4.37630000,-23.90000000,4.00900000,-23.90000000,3.55190000
-26.80000000,4.37950000,-23.80000000,4.01380000,-23.80000000,3.54070000
-26.70000000,4.38740000,-23.70000000,4.02330000,-23.70000000,3.54230000
-26.60000000,4.39220000,-23.60000000,4.03130000,-23.60000000,3.54390000
-26.50000000,4.38590000,-23.50000000,4.05360000,-23.50000000,3.54710000
-26.40000000,4.39060000,-23.40000000,4.03610000,-23.40000000,3.56150000
-26.30000000,4.38430000,-23.30000000,4.02810000,-23.30000000,3.56940000
-26.20000000,4.38900000,-23.20000000,4.05200000,-23.20000000,3.58380000
-26.10000000,4.40020000,-23.10000000,4.07120000,-23.10000000,3.59500000
-26.00000000,4.39220000,-23.00000000,4.08870000,-23.00000000,3.59660000
-25.90000000,4.39060000,-22.90000000,4.09030000,-22.90000000,3.59970000
-25.80000000,4.38740000,-22.80000000,4.08870000,-22.80000000,3.60450000
-25.70000000,4.38430000,-22.70000000,4.08240000,-22.70000000,3.60450000
-25.60000000,4.38900000,-22.60000000,4.09350000,-22.60000000,3.61250000
-25.50000000,4.39860000,-22.50000000,4.13020000,-22.50000000,3.62690000
-25.40000000,4.40180000,-22.40000000,4.13660000,-22.40000000,3.62530000
-25.30000000,4.39380000,-22.30000000,4.13180000,-22.30000000,3.63160000
-25.20000000,4.38900000,-22.20000000,4.13820000,-22.20000000,3.65080000
-25.10000000,4.38590000,-22.10000000,4.14780000,-22.10000000,3.66510000
-25.00000000,4.38430000,-22.00000000,4.17330000,-22.00000000,3.67310000
-24.90000000,4.39700000,-21.90000000,4.18920000,-21.90000000,3.67470000
-24.80000000,4.41300000,-21.80000000,4.19080000,-21.80000000,3.67790000
-24.70000000,4.42100000,-21.70000000,4.19560000,-21.70000000,3.68910000
-24.60000000,4.42100000,-21.60000000,4.20840000,-21.60000000,3.70020000
-24.50000000,4.41780000,-21.50000000,4.23230000,-21.50000000,3.71940000
-24.40000000,4.41780000,-21.40000000,4.24670000,-21.40000000,3.73850000
-24.30000000,4.44010000,-21.30000000,4.25940000,-21.30000000,3.74010000
-24.20000000,4.45450000,-21.20000000,4.26580000,-21.20000000,3.74810000
-24.10000000,4.45290000,-21.10000000,4.26900000,-21.10000000,3.76090000
-24.00000000,4.45290000,-21.00000000,4.29290000,-21.00000000,3.77680000
-23.90000000,4.45450000,-20.90000000,4.31210000,-20.90000000,3.81030000
-23.80000000,4.46880000,-20.80000000,4.32320000,-20.80000000,3.82950000
-23.70000000,4.48320000,-20.70000000,4.33440000,-20.70000000,3.84220000
-23.60000000,4.48000000,-20.60000000,4.35040000,-20.60000000,3.85180000
-23.50000000,4.48160000,-20.50000000,4.37750000,-20.50000000,3.84860000
-23.40000000,4.50230000,-20.40000000,4.40300000,-20.40000000,3.86930000
-23.30000000,4.51190000,-20.30000000,4.41740000,-20.30000000,3.89170000
-23.20000000,4.52300000,-20.20000000,4.42370000,-20.20000000,3.90440000
-23.10000000,4.53100000,-20.10000000,4.44770000,-20.10000000,3.92040000
-23.00000000,4.53580000,-20.00000000,4.48280000,-20.00000000,3.92680000
-22.90000000,4.53900000,-19.90000000,4.50830000,-19.90000000,3.93470000
-22.80000000,4.55180000,-19.80000000,4.51630000,-19.80000000,3.96350000
-22.70000000,4.56450000,-19.70000000,4.52740000,-19.70000000,3.99380000
-22.60000000,4.57090000,-19.60000000,4.54820000,-19.60000000,4.00810000
-22.50000000,4.58370000,-19.50000000,4.56570000,-19.50000000,4.01930000
-22.40000000,4.61080000,-19.40000000,4.59600000,-19.40000000,4.03370000
-22.30000000,4.63470000,-19.30000000,4.62630000,-19.30000000,4.05760000
-22.20000000,4.63630000,-19.20000000,4.63430000,-19.20000000,4.08950000
-22.10000000,4.63950000,-19.10000000,4.65670000,-19.10000000,4.11340000
-22.00000000,4.66020000,-19.00000000,4.69180000,-19.00000000,4.11820000
-21.90000000,4.68580000,-18.90000000,4.70930000,-18.90000000,4.13100000
-21.80000000,4.69210000,-18.80000000,4.74440000,-18.80000000,4.16290000
-21.70000000,4.70330000,-18.70000000,4.76830000,-18.70000000,4.19000000
-21.60000000,4.71930000,-18.60000000,4.77950000,-18.60000000,4.21390000
-21.50000000,4.72880000,-18.50000000,4.80180000,-18.50000000,4.23150000
-21.40000000,4.74000000,-18.40000000,4.83690000,-18.40000000,4.24260000
-21.30000000,4.76710000,-18.30000000,4.87360000,-18.30000000,4.26980000
-21.20000000,4.79580000,-18.20000000,4.89590000,-18.20000000,4.30170000
-21.10000000,4.81500000,-18.10000000,4.91670000,-18.10000000,4.32240000
