,"690 K",,"729 K",,"742 K",,"761 K",,"777 K",,"797 K",,"815 K",,"840 K",,"867 K",,"893 K"
-28.00000000,4.39870000,-28.00000000,3.69460000,-28.00000000,3.49430000,-28.00000000,3.22500000,-28.00000000,3.00820000,-28.00000000,2.78150000,-28.00000000,2.57570000,-27.00000000,2.34310000,-27.00000000,2.11260000,-27.00000000,1.91180000
-27.90000000,4.38280000,-27.90000000,3.68020000,-27.90000000,3.49590000,-27.90000000,3.22180000,-27.90000000,3.01610000,-27.90000000,2.78150000,-27.90000000,2.58050000,-26.90000000,2.35740000,-26.90000000,2.12220000,-26.90000000,1.92780000
-27.80000000,4.38750000,-27.80000000,3.68980000,-27.80000000,3.50230000,-27.80000000,3.23290000,-27.80000000,3.01930000,-27.80000000,2.77680000,-27.80000000,2.56460000,-26.80000000,2.35580000,-26.80000000,2.13340000,-26.80000000,1.91980000
-27.70000000,4.38590000,-27.70000000,3.69780000,-27.70000000,3.49750000,-27.70000000,3.24090000,-27.70000000,3.02890000,-27.70000000,2.78310000,-27.70000000,2.56460000,-26.70000000,2.33350000,-26.70000000,2.13020000,-26.70000000,1.91500000
-27.60000000,4.38120000,-27.60000000,3.70420000,-27.60000000,3.48640000,-27.60000000,3.24890000,-27.60000000,3.01610000,-27.60000000,2.79750000,-27.60000000,2.56780000,-26.60000000,2.31120000,-26.60000000,2.11900000,-26.60000000,1.90540000
-27.50000000,4.38280000,-27.50000000,3.70100000,-27.50000000,3.48160000,-27.50000000,3.23290000,-27.50000000,2.99860000,-27.50000000,2.80870000,-27.50000000,2.58050000,-26.50000000,2.32550000,-26.50000000,2.11100000,-26.50000000,1.90060000
-27.40000000,4.38440000,-27.40000000,3.69780000,-27.40000000,3.47840000,-27.40000000,3.22340000,-27.40000000,2.99540000,-27.40000000,2.80070000,-27.40000000,2.59010000,-26.40000000,2.33830000,-26.40000000,2.11580000,-26.40000000,1.91820000
-27.30000000,4.39390000,-27.30000000,3.69140000,-27.30000000,3.47680000,-27.30000000,3.23930000,-27.30000000,2.99860000,-27.30000000,2.78950000,-27.30000000,2.58210000,-26.30000000,2.33670000,-26.30000000,2.12220000,-26.30000000,1.92140000
-27.20000000,4.39390000,-27.20000000,3.69140000,-27.20000000,3.48000000,-27.20000000,3.24890000,-27.20000000,3.01130000,-27.20000000,2.78310000,-27.20000000,2.58690000,-26.20000000,2.34790000,-26.20000000,2.13020000,-26.20000000,1.90700000
-27.10000000,4.37960000,-27.10000000,3.70900000,-27.10000000,3.49270000,-27.10000000,3.25370000,-27.10000000,3.02090000,-27.10000000,2.77990000,-27.10000000,2.58050000,-26.10000000,2.33670000,-26.10000000,2.12540000,-26.10000000,1.90700000
-27.00000000,4.37160000,-27.00000000,3.70900000,-27.00000000,3.50390000,-27.00000000,3.25050000,-27.00000000,3.01770000,-27.00000000,2.77990000,-27.00000000,2.55980000,-26.00000000,2.32390000,-26.00000000,2.11580000,-26.00000000,1.91980000
-26.90000000,4.37480000,-26.90000000,3.69940000,-26.90000000,3.50870000,-26.90000000,3.24250000,-26.90000000,3.01610000,-26.90000000,2.77520000,-26.90000000,2.55980000,-25.90000000,2.33350000,-25.90000000,2.11740000,-25.90000000,1.92620000
-26.80000000,4.38910000,-26.80000000,3.68980000,-26.80000000,3.51190000,-26.80000000,3.24410000,-26.80000000,3.02250000,-26.80000000,2.77200000,-26.80000000,2.57410000,-25.80000000,2.34630000,-25.80000000,2.12700000,-25.80000000,1.90860000
-26.70000000,4.40030000,-26.70000000,3.69620000,-26.70000000,3.51030000,-26.70000000,3.24570000,-26.70000000,3.01930000,-26.70000000,2.77680000,-26.70000000,2.58050000,-25.70000000,2.35100000,-25.70000000,2.13340000,-25.70000000,1.88790000
-26.60000000,4.39550000,-26.60000000,3.71690000,-26.60000000,3.50230000,-26.60000000,3.22970000,-26.60000000,3.01450000,-26.60000000,2.78310000,-26.60000000,2.59010000,-25.60000000,2.33990000,-25.60000000,2.13020000,-25.60000000,1.88790000
-26.50000000,4.38590000,-26.50000000,3.72330000,-26.50000000,3.49430000,-26.50000000,3.22500000,-26.50000000,3.01610000,-26.50000000,2.78790000,-26.50000000,2.58210000,-25.50000000,2.32710000,-25.50000000,2.12060000,-25.50000000,1.89580000
-26.40000000,4.38590000,-26.40000000,3.71530000,-26.40000000,3.50710000,-26.40000000,3.22810000,-26.40000000,3.01130000,-26.40000000,2.79590000,-26.40000000,2.57890000,-25.40000000,2.33830000,-25.40000000,2.11900000,-25.40000000,1.90380000
