Time691,691K,Time713,713K,Time743,743K
-30,4.3635,-27,3.9691,-27,3.4801
-29.896,4.3604,-26.894,3.9669,-26.9,3.4721
-29.771,4.3691,-26.757,3.9563,-26.801,3.4958
-29.693,4.3737,-26.647,3.9491,-26.71,3.4918
-29.575,4.358,-26.593,3.9492,-26.682,3.4879
-29.496,4.3558,-26.5,3.9594,-26.599,3.4722
-29.393,4.3629,-26.4,3.9624,-26.5,3.4801
-29.296,4.3715,-26.3,3.9624,-26.4,3.4929
-29.2,4.3715,-26.2,3.9691,-26.269,3.4935
-29.1,4.3667,-26.1,3.9787,-26.1,3.4897
-29,4.3667,-26,3.9755,-26,3.4897
-28.9,4.3542,-26,3.9755,-25.638,3.4966
-28.785,4.3638,-25.888,3.9683,-25.5,3.512
-28.643,4.3758,-25.7,3.9594,-25.4,3.5024
-28.542,4.3751,-25.6,3.9755,-25.3,3.488
-28.484,4.3702,-25.501,3.9802,-25.2,3.4817
-28.4,4.3555,-25.5,3.9803,-25.1,3.4865
-28.3,4.3602,-25.4,3.9661,-25,3.4865
-28.2,4.3715,-25.3,3.9594,-24.9,3.504
-28.1,4.3699,-25.156,3.9674,-24.8,3.5184
-27.997,4.3716,-25,3.9739,-24.7,3.512
-27.895,4.3763,-25,3.9739,-24.6,3.5072
-27.718,4.3737,-24.9,3.9867,-24.5,3.5072
-27.6,4.3699,-24.801,3.9819,-24.4,3.5088
-27.5,4.3747,-24.7,3.9755,-24.299,3.5056
-27.4,4.3731,-24.6,3.9899,-24.194,3.5082
-27.299,4.3651,-24.5,4.0026,-24.063,3.5302
-27.194,4.3606,-24.402,3.9728,-24,3.5423
-26.997,4.3717,-24.371,3.97,-23.9,3.5486
-26.8,4.3795,-24.299,3.9645,-23.798,3.5375
-26.697,4.3876,-24.2,3.9963,-23.6,3.5407
-26.599,4.3922,-24.025,4.0086,-23.5,3.5439
-26.498,4.386,-24,4.0107,-23.4,3.5582
-26.398,4.3906,-23.9,4.009,-23.3,3.5662
-26.299,4.3843,-23.8,4.0138,-23.2,3.5805
-26.198,4.3893,-23.698,4.0235,-23.1,3.5917
-26.092,4.3996,-23.588,4.034,-23,3.5933
-26,4.3922,-23.5,4.0537,-22.9,3.5965
-25.9,4.3907,-23.4,4.0361,-22.703,3.6012
-25.701,4.3843,-23.3,4.0283,-22.649,3.6053
-25.601,4.389,-23.2,4.0522,-22.564,3.6144
-25.499,4.3987,-23.1,4.0714,-22.5,3.6236
-25.396,4.4015,-23,4.0888,-22.4,3.622
-25.245,4.3912,-22.9,4.0904,-22.297,3.6289
-25.2,4.3891,-22.799,4.0888,-22.198,3.6477
-25.095,4.3858,-22.7,4.0825,-22.097,3.662
-24.999,4.3844,-22.6,4.0937,-22,3.6698
-24.89,4.3987,-22.5,4.1302,-21.894,3.6716
-24.76,4.4162,-22.5,4.1303,-21.793,3.6754
-24.685,4.421,-22.4,4.1367,-21.6,3.6969
-24.501,4.4178,-22.301,4.1319,-21.505,3.7152
-24.4,4.4178,-22.201,4.1382,-21.5,3.716
-24.4,4.4178,-22.101,4.1478,-21.4,3.7352
-24.3,4.4402,-22.014,4.1698,-21.3,3.7367
-24.2,4.4545,-22,4.1734,-21.2,3.7447
-24.1,4.4529,-21.899,4.1894,-21.101,3.7575
-23.993,4.453,-21.773,4.1923,-21.002,3.773
-23.892,4.4557,-21.654,4.2016,-21,3.7734
-23.7,4.4832,-21.586,4.2118,-20.9,3.8069
-23.601,4.48,-21.5,4.2324,-20.827,3.8208
-23.6,4.48,-21.4,4.2468,-20.7,3.8388
-23.5,4.4816,-21.299,4.2596,-20.599,3.8483
-23.4,4.5023,-21.1,4.2691,-20.5,3.8451
-23.299,4.5121,-21,4.293,-20.4,3.8659
-23.19,4.5239,-21,4.293,-20.3,3.8882
-23.071,4.5325,-20.9,4.3122,-20.196,3.9015
-22.931,4.538,-20.77,4.3266,-20.096,3.9171
-22.805,4.5512,-20.623,4.3468,-20,3.9232
-22.8,4.5518,-20.582,4.3553,-19.9,3.9312
-22.693,4.5651,-20.5,4.3776,-19.803,3.9591
-22.598,4.5712,-20.374,4.4068,-19.701,3.9899
-22.5,4.5839,-20.294,4.4178,-19.637,3.9992
-22.4,4.6109,-20.2,4.4239,-19.545,4.0107
-22.3,4.6348,-20.1,4.4478,-19.5,4.0157
-22.2,4.6364,-20.006,4.4808,-19.4,4.0301
-22.1,4.6396,-20,4.4829,-19.3,4.054
-22,4.6603,-19.9,4.5084,-19.2,4.0857
-21.9,4.6859,-19.8,4.5164,-19.1,4.1097
-21.8,4.6923,-19.7,4.5276,-19,4.1145
-21.699,4.7035,-19.599,4.5484,-19,4.1145
-21.599,4.7194,-19.5,4.5658,-18.9,4.1272
-21.493,4.7297,-19.387,4.5999,-18.804,4.1578
-21.382,4.7449,-19.299,4.6264,-18.7,4.1862
-21.275,4.7742,-19.2,4.6344,-18.605,4.2089
-21.2,4.7959,-19.1,4.6567,-18.541,4.2206
-21.101,4.815,-19,4.6918,-18.5,4.2277
-20.906,4.8182,-19,4.6918,-18.4,4.2389
-20.802,4.8463,-18.9,4.7095,-18.3,4.2659
-20.716,4.8737,-18.8,4.7445,-18.2,4.2978
-20.603,4.9069,-18.7,4.7683,-18.1,4.3186
-20.552,4.9115,-18.6,4.7797,-18,4.3425
-20.4,4.9252,-18.5,4.8019,-17.9,4.3601
-20.296,4.9518,-18.4,4.8369,-17.8,4.3855
-20.179,4.981,-18.3,4.8737,-17.701,4.4201
-20.083,5.0016,-18.2,4.896,-17.627,4.4403
-19.901,5.0288,-18.1,4.9168,-17.57,4.4591
-19.802,5.0523,-18.006,4.9422,-17.5,4.486
-19.731,5.0772,-18,4.9439,-17.4,4.5226
-19.647,5.1031,-17.9,4.9822,-17.3,4.5402
-19.6,5.1167,-17.802,5.0102,-17.199,4.5627
-19.5,5.1294,-17.701,5.0235,-17.1,4.5943
-19.4,5.1454,-17.645,5.0377,-17,4.6326
-19.296,5.1785,-17.512,5.0984,-16.889,4.6717
-19.199,5.2094,-17.5,5.105,-16.799,4.7045
-19.098,5.2301,-17.4,5.1497,-16.692,4.7253
-19,5.2412,-17.301,5.1624,-16.6,4.7475
-18.898,5.2754,-17.211,5.1824,-16.5,4.8047
-18.8,5.3113,-17.181,5.1918,-16.401,4.8506
-18.7,5.3352,-17.088,5.2251,-16.3,4.8668
-18.601,5.3796,-17,5.2518,-16.2,4.878
-18.5,5.4053,-16.901,5.2931,-16.122,4.8967
-18.401,5.415,-16.8,5.3349,-16.099,4.9027
-18.307,5.4433,-16.7,5.3635,-16,4.9577
-18.214,5.4767,-16.6,5.3954,-15.9,5.0087
-18.101,5.5197,-16.509,5.4362,-15.8,5.0326
-18,5.5538,-16.5,5.4401,-15.701,5.0706
-17.869,5.5977,-16.4,5.4799,-15.6,5.1138
-17.741,5.6416,-16.3,5.5166,-15.501,5.1519
-17.663,5.6723,-16.202,5.5603,-15.5,5.1522
-17.569,5.7089,-16.171,5.5673,-15.4,5.1936
-17.4,5.7452,-16.08,5.5877,-15.303,5.24
-17.3,5.7754,-16,5.6092,-15.21,5.2802
-17.2,5.8121,-15.903,5.6605,-15.1,5.3275
-17.2,5.8122,-15.801,5.7062,-15,5.3673
-17.095,5.8657,-15.725,5.7316,-14.898,5.4046
-17,5.9113,-15.672,5.7514,-14.8,5.4376
-16.9,5.9399,-15.595,5.7844,-14.7,5.4805
-16.8,5.9749,-15.5,5.8358,-14.6,5.5188
-16.7,6.0324,-15.392,5.8964,-14.5,5.5475
-16.6,6.0803,-15.291,5.9559,-14.5,5.5475
-16.5,6.1089,-15.199,5.9942,-14.4,5.6051
-16.403,6.1307,-15.097,6.0319,-14.3,5.6734
-16.4,6.1313,-15,6.0815,-14.207,5.7176
-16.3,6.1792,-14.9,6.115,-14.105,5.765
-16.203,6.2379,-14.8,6.1661,-14,5.8247
-16.151,6.2638,-14.7,6.2378,-14,5.8249
-16.002,6.3297,-14.6,6.2855,-13.9,5.884
-15.902,6.3667,-14.511,6.3168,-13.8,5.9334
-15.844,6.3993,-14.5,6.3208,-13.7,5.9795
-15.78,6.4384,-14.4,6.3479,-13.6,6.0353
-15.697,6.4933,-14.311,6.3978,-13.5,6.0959
-15.6,6.5397,-14.274,6.4213,-13.5,6.0959
-15.5,6.5797,-14.182,6.482,-13.4,6.1692
-15.4,6.6146,-14.091,6.5315,-13.3,6.2345
-15.313,6.6603,-14,6.5793,-13.201,6.2678
-15.202,6.7206,-13.9,6.6321,-13.106,6.313
-15.102,6.7528,-13.8,6.6941,-13.06,6.3484
-14.996,6.7968,-13.701,6.7368,-13,6.3971
-14.899,6.8368,-13.602,6.7874,-12.9,6.4784
-14.8,6.8924,-13.569,6.8129,-12.807,6.5435
-14.701,6.9571,-13.5,6.868,-12.779,6.5601
-14.62,7.0072,-13.386,6.9576,-12.601,6.6611
-14.563,7.0449,-13.29,7.0153,-12.502,6.7286
-14.45,7.1133,-13.196,7.0643,-12.5,6.7302
-14.31,7.1886,-13.001,7.212,-12.4,6.813
-14.223,7.2408,-13,7.2127,-12.3,6.8894
-14.153,7.2885,-12.9,7.2797,-12.203,6.9591
-14.074,7.3419,-12.8,7.3529,-12.134,7.0262
-14,7.3869,-12.692,7.4303,-12.086,7.0727
-13.9,7.4411,-12.592,7.5034,-12,7.148
-13.805,7.5137,-12.5,7.562,-11.9,7.2179
-13.7,7.6003,-12.4,7.6401,-11.809,7.2775
-13.618,7.6583,-12.318,7.72,-11.7,7.3486
-13.572,7.6851,-12.2,7.8206,-11.661,7.3869
-13.493,7.7266,-12.1,7.9014,-11.561,7.4912
-13.399,7.7915,-12,7.9832,-11.5,7.5592
-13.289,7.8775,-11.9,8.0709,-11.403,7.6547
-13.2,7.9518,-11.818,8.1529,-11.324,7.716
-13.1,8.038,-11.727,8.239,-11.204,7.8064
-13,8.1094,-11.607,8.3407,-11.162,7.8433
-12.9,8.1834,-11.541,8.3883,-11.08,7.9181
-12.799,8.2651,-11.5,8.417,-11,7.9879
-12.7,8.3555,-11.404,8.5018,-10.9,8.0884
-12.596,8.4442,-11.374,8.5369,-10.804,8.2005
-12.499,8.5192,-11.252,8.6813,-10.734,8.2765
-12.4,8.601,-11.169,8.7665,-10.629,8.3859
-12.201,8.7804,-11,8.9198,-10.558,8.4551
-12.102,8.878,-10.901,9.0228,-10.5,8.5108
-12,8.9777,-10.801,9.1368,-10.4,8.6238
-11.9,9.0642,-10.699,9.2578,-10.304,8.7485
-11.8,9.1532,-10.599,9.3677,-10.25,8.8082
-11.7,9.2635,-10.5,9.4877,-10.104,8.9681
-11.6,9.3843,-10.4,9.6216,-10.079,9.001
-11.5,9.4913,-10.311,9.7209,-10,9.1052
-11.399,9.5881,-10.203,9.84,-9.9,9.2378
-11.295,9.6919,-10.186,9.8634,-9.8001,9.3587
-11.189,9.8079,-10.065,10.03,-9.7006,9.4776
-11.097,9.9145,-10,10.118,-9.6005,9.6051
-10.999,10.021,-9.8986,10.254,-9.5001,9.7267
-10.9,10.127,-9.8,10.391,-9.5,9.7269
-10.8,10.254,-9.7001,10.515,-9.3965,9.8624
-10.7,10.389,-9.6005,10.625,-9.2961,9.999
-10.6,10.52,-9.5193,10.739,-9.1969,10.143
-10.508,10.629,-9.5,10.767,-9.0918,10.313
-10.406,10.745,-9.4002,10.933,-9,10.468
-10.312,10.865,-9.2997,11.096,-8.9004,10.635
-10.224,10.975,-9.2002,11.241,-8.8463,10.718
-10.101,11.146,-9.1001,11.404,-8.7706,10.838
-10.057,11.216,-9.0096,11.568,-8.6934,10.968
-10,11.307,-9,11.586,-8.5935,11.158
-9.8104,11.57,-8.9,11.737,-8.5,11.331
-9.7747,11.625,-8.8023,11.902,-8.4032,11.489
-9.6055,11.899,-8.6851,12.106,-8.3004,11.673
-9.5122,12.044,-8.5764,12.303,-8.2001,11.877
-9.4752,12.1,-8.5,12.452,-8.088,12.101
-9.3966,12.22,-8.4,12.632,-8,12.281
-9.2988,12.394,-8.2998,12.827,-7.9074,12.477
-9.2,12.583,-8.2001,13.038,-7.8121,12.683
-9.0945,12.759,-8.1002,13.24,-7.7229,12.879
-8.9875,12.943,-8.0008,13.438,-7.6737,12.986
-8.8811,13.14,-8,13.439,-7.5933,13.162
-8.7922,13.297,-7.9007,13.652,-7.5,13.387
-8.6915,13.491,-7.796,13.886,-7.4027,13.601
-8.5016,13.887,-7.6907,14.128,-7.2979,13.84
-8.4167,14.061,-7.5998,14.341,-7.1999,14.1
-8.4,14.096,-7.5003,14.557,-7.0999,14.366
-8.302,14.284,-7.5,14.558,-7,14.637
-8.21,14.478,-7.4,14.797,-6.8946,14.933
-8.1191,14.682,-7.3288,14.996,-6.785,15.253
-7.9999,14.95,-7.2912,15.101,-6.6902,15.535
-7.8997,15.17,-7.1993,15.342,-6.5588,15.937
-7.7989,15.404,-7.0997,15.583,-6.5,16.123
-7.6981,15.658,-7,15.851,-6.4011,16.454
-7.6,15.916,-6.8984,16.149,-6.3015,16.788
-7.4986,16.178,-6.7996,16.46,-6.2002,17.144
-7.3998,16.431,-6.6968,16.763,-6.1122,17.453
-7.3,16.701,-6.5982,17.054,-6.0709,17.595
-7.2,16.97,-6.5,17.369,-6,17.838
-7.0989,17.255,-6.392,17.728,-5.9006,18.214
-6.9971,17.559,-6.2816,18.101,-5.8035,18.604
-6.8991,17.848,-6.1699,18.486,-5.7014,19.038
-6.8,18.16,-6.0852,18.783,-5.6032,19.463
-6.6845,18.536,-6,19.103,-5.5629,19.637
-6.5578,18.955,-5.8995,19.508,-5.5,19.913
-6.4787,19.216,-5.7996,19.898,-5.4002,20.359
-6.3844,19.518,-5.6978,20.308,-5.3002,20.834
-6.2939,19.841,-5.5756,20.836,-5.2005,21.335
-6.198,20.221,-5.5,21.173,-5.1552,21.556
-6.0991,20.614,-5.3784,21.733,-5.0005,22.341
-6,21.005,-5.2962,22.123,-5,22.344
-5.9005,21.371,-5.196,22.589,-4.8972,22.914
-5.859,21.539,-5.076,23.17,-4.7992,23.472
-5.7848,21.848,-5,23.565,-4.6999,24.039
-5.6016,22.686,-4.8979,24.112,-4.6002,24.646
-5.5001,23.15,-4.6997,25.188,-4.5053,25.263
-5.3794,23.677,-4.6011,25.783,-4.5,25.298
-5.2881,24.092,-4.5153,26.305,-4.4154,25.849
-5.2,24.529,-4.5,26.4,-4.35,26.272
-5.0985,25.05,-4.4021,26.984,-4.2807,26.735
-4.9803,25.674,-4.3674,27.208,-4.1884,27.402
-4.8935,26.151,-4.2647,27.894,-4.0943,28.13
-4.7987,26.699,-4.1801,28.484,-4,28.868
-4.6994,27.262,-4.0944,29.099,-3.9002,29.646
-4.6,27.825,-4,29.786,-3.8001,30.447
-4.5032,28.446,-3.9003,30.506,-3.7034,31.229
-4.4028,29.111,-3.7782,31.434,-3.6471,31.685
-4.4,29.13,-3.6526,32.425,-3.5002,32.924
-4.2903,29.844,-3.5066,33.597,-3.5,32.926
-4.1418,30.861,-3.5,33.651,-3.4008,33.768
-4.0711,31.36,-3.4059,34.399,-3.3575,34.133
-3.9712,32.079,-3.3824,34.582,-3.2929,34.687
-3.8858,32.698,-3.2377,35.721,-3.1986,35.47
-3.7953,33.355,-3.1399,36.482,-3.0999,36.298
-3.6926,34.097,-3.0008,37.58,-3.0002,37.243
-3.6,34.783,-3,37.586,-3,37.244
-3.4992,35.551,-2.9001,38.433,-2.9026,38.087
-3.4002,36.268,-2.8123,39.149,-2.878,38.284
-3.3014,36.954,-2.7054,40.001,-2.7895,38.998
-3.2049,37.674,-2.662,40.328,-2.6988,39.771
