,690K,,729K,,742K,,761K,,777K,,797K,,815K,,840K,,867K,,893K
-28,4.3987,-28,3.6946,-28,3.4943,-28,3.225,-28,3.0082,-28,2.7815,-28,2.5929,-27,2.3431,-27,2.1126,-27,1.9118
-27.9,4.3826,-27.9,3.68,-27.894,3.4963,-27.9,3.2221,-27.9,3.0161,-27.899,2.7815,-27.9,2.5961,-26.905,2.3567,-26.901,2.122,-26.916,1.9252
-27.8,4.3873,-27.799,3.6902,-27.795,3.502,-27.799,3.2331,-27.8,3.0193,-27.8,2.7768,-27.8,2.5818,-26.803,2.3559,-26.803,2.133,-26.896,1.9274
-27.698,4.3859,-27.683,3.6989,-27.615,3.488,-27.6,3.2489,-27.7,3.0289,-27.7,2.7831,-27.7,2.5612,-26.798,2.3554,-26.747,2.1317,-26.799,1.9197
-27.582,4.3815,-27.598,3.7041,-27.513,3.4822,-27.543,3.2398,-27.601,3.0163,-27.599,2.7976,-27.602,2.5612,-26.69,2.3312,-26.672,2.1271,-26.699,1.9149
-27.4,4.3846,-27.5,3.701,-27.5,3.4815,-27.5,3.233,-27.506,2.9996,-27.5,2.8086,-27.564,2.565,-26.595,2.3119,-26.589,2.1181,-26.6,1.9054
-27.3,4.394,-27.3,3.6912,-27.399,3.4784,-27.4,3.2236,-27.5,2.9986,-27.4,2.8006,-27.5,2.5721,-26.5,2.3257,-26.5,2.111,-26.5,1.9008
-27.2,4.394,-27.199,3.6913,-27.298,3.4768,-27.3,3.2393,-27.4,2.9954,-27.3,2.7895,-27.384,2.5691,-26.4,2.3385,-26.399,2.1159,-26.422,1.9144
-27.1,4.3793,-27.1,3.709,-27.2,3.48,-27.201,3.2489,-27.3,2.9986,-27.201,2.7832,-27.283,2.5501,-26.303,2.3367,-26.299,2.1222,-26.353,1.9197
-27,4.3713,-27,3.709,-27.098,3.4929,-27.1,3.2537,-27.201,3.0112,-27.1,2.7798,-27.2,2.5354,-26.236,2.3439,-26.2,2.1302,-26.279,1.9184
-26.9,4.3746,-27,3.709,-27,3.5039,-27,3.2505,-27.101,3.0209,-27,2.7798,-27.1,2.5484,-26.189,2.3467,-26.1,2.1254,-26.2,1.9072
-26.803,4.3888,-26.867,3.6964,-26.9,3.5086,-27,3.2505,-27,3.0178,-27,2.7798,-27,2.5705,-26.098,2.3364,-26.008,2.1166,-26.1,1.9072
-26.701,4.4002,-26.771,3.6919,-26.8,3.5119,-26.9,3.2426,-26.9,3.0162,-26.893,2.7749,-27,2.5705,-26,2.3239,-26,2.1158,-26.001,1.9197
-26.606,4.3957,-26.683,3.6997,-26.7,3.5103,-26.7,3.2457,-26.799,3.0226,-26.797,2.7719,-26.901,2.5801,-25.9,2.3335,-25.9,2.1174,-26,1.9198
-26.536,4.3894,-26.6,3.717,-26.502,3.4945,-26.6,3.2298,-26.694,3.0191,-26.669,2.7788,-26.851,2.577,-25.8,2.3463,-25.8,2.127,-25.9,1.9262
-26.401,4.386,-26.5,3.7234,-26.5,3.4943,-26.502,3.2251,-26.598,3.0146,-26.502,2.7878,-26.711,2.575,-25.702,2.351,-25.7,2.1333,-25.8,1.9086
-26.3,4.3973,-26.4,3.7154,-26.4,3.5071,-26.5,3.225,-26.5,3.0162,-26.5,2.7879,-26.601,2.5706,-25.664,2.347,-25.596,2.1298,-25.712,1.8903
-26.177,4.4069,-26.3,3.7122,-26.303,3.5117,-26.4,3.2282,-26.4,3.0114,-26.4,2.7959,-26.522,2.5753,-25.546,2.3329,-25.5,2.1206,-25.61,1.8878
-26.037,4.408,-26.2,3.6979,-26.255,3.504,-26.3,3.2394,-26.3,3.0114,-26.3,2.7974,-26.5,2.5768,-25.5,2.3271,-25.4,2.119,-25.541,1.8926
-26,4.4051,-26.1,3.693,-26.156,3.4908,-26.2,3.2457,-26.2,3.005,-26.189,2.792,-26.4,2.5945,-25.401,2.3383,-25.3,2.127,-25.5,1.8959
-25.834,4.3907,-26,3.7074,-26.019,3.4825,-26.031,3.235,-26.1,2.9922,-26.087,2.7843,-26.3,2.5803,-25.367,2.3448,-25.199,2.1286,-25.395,1.9038
-25.7,4.3826,-26,3.7074,-26,3.4816,-26,3.233,-26,2.994,-26,2.7705,-26.23,2.5858,-25.297,2.3573,-25.1,2.1317,-25.294,1.9003
-25.615,4.3963,-25.9,3.7106,-25.899,3.4784,-25.87,3.2496,-25.893,3.0077,-25.9,2.7625,-26.101,2.5976,-25.199,2.3526,-25,2.1302,-25.199,1.8928
