T	1000/T	Tau
0790	1.265823	1552.876
0800	1.250000	1502.658
0810	1.234568	1508.313
0820	1.219512	1559.889
0830	1.204819	1647.04
0840	1.190476	1756.775
0850	1.176471	1872.233
0860	1.162791	1973.829
0870	1.149425	2042.841
0880	1.136364	2066.415
0890	1.123596	2040.235
0900	1.111111	1967.773
0910	1.098901	1857.601
0920	1.086957	1720.474
0930	1.075269	1567.197
0940	1.063830	1407.329
0950	1.052632	1248.428
0960	1.041667	1096.069
0970	1.030928	953.8583
0980	1.020408	823.9204
0990	1.010101	707.1975
1000	1.000000	603.8075
1010	0.990099	513.4176
1020	0.9803922	435.2285
1030	0.9708738	368.2035
1040	0.9615385	311.2182
1050	0.952381	263.0928
1060	0.9433962	222.652
1070	0.9345794	188.7923
1080	0.9259259	160.484
1090	0.9174312	136.8351
1100	0.9090909	117.0604
1110	0.9009009	100.475
1120	0.8928571	86.5551
1130	0.8849558	74.82323
1140	0.877193	64.91391
1150	0.8695652	56.49253
1160	0.862069	49.31988
