Norm. Time,MCH,MCH-1,MCH-2,MCH-3,CYCHEXCH2
-18.936,0.0105,0,0,0,0
-18.897,0.0105,-1.30E-40,-8.14E-40,-8.14E-40,-1.61E-39
-18.857,0.0105,-2.00E-37,-8.46E-37,-8.46E-37,-2.57E-36
-18.818,0.0105,-4.90E-37,-1.69E-36,-1.69E-36,-6.32E-36
-18.779,0.0105,-7.55E-37,-2.28E-36,-2.28E-36,-9.73E-36
-18.736,0.0105,-9.49E-37,-2.64E-36,-2.64E-36,-1.21E-35
-18.698,0.0105,-6.90E-37,-1.52E-36,-1.52E-36,-8.64E-36
-18.659,0.0105,5.48E-37,2.73E-36,2.73E-36,7.43E-36
-18.61,0.0105,2.27E-36,8.56E-36,8.56E-36,2.94E-35
-18.562,0.0105,4.21E-36,1.50E-35,1.50E-35,5.39E-35
-18.542,0.0105,5.62E-36,2.01E-35,2.01E-35,7.18E-35
-18.502,0.0105,9.04E-36,3.22E-35,3.22E-35,1.15E-34
-18.463,0.0105,1.24E-35,4.39E-35,4.39E-35,1.57E-34
-18.428,0.0105,1.53E-35,5.38E-35,5.38E-35,1.93E-34
-18.384,0.0105,2.00E-35,6.99E-35,6.99E-35,2.52E-34
-18.345,0.0105,2.38E-35,8.24E-35,8.24E-35,2.99E-34
-18.305,0.0105,2.74E-35,9.43E-35,9.43E-35,3.44E-34
-18.266,0.0105,3.12E-35,1.07E-34,1.07E-34,3.90E-34
-18.223,0.0105,3.60E-35,1.23E-34,1.23E-34,4.51E-34
-18.186,0.0105,3.98E-35,1.36E-34,1.36E-34,4.98E-34
-18.147,0.0105,4.17E-35,1.41E-34,1.41E-34,5.21E-34
-18.108,0.0105,4.28E-35,1.43E-34,1.43E-34,5.33E-34
-18.068,0.0105,4.35E-35,1.45E-34,1.45E-34,5.42E-34
-18.029,0.0105,4.43E-35,1.47E-34,1.47E-34,5.51E-34
-17.99,0.0105,4.65E-35,1.54E-34,1.54E-34,5.79E-34
-17.947,0.0105,4.96E-35,1.64E-34,1.64E-34,6.20E-34
-17.908,0.0105,5.26E-35,1.74E-34,1.74E-34,6.58E-34
-17.871,0.0105,5.55E-35,1.83E-34,1.83E-34,6.94E-34
-17.818,0.0105,5.95E-35,1.96E-34,1.96E-34,7.45E-34
-17.753,0.0105,6.41E-35,2.11E-34,2.11E-34,8.03E-34
-17.753,0.0105,6.41E-35,2.11E-34,2.11E-34,8.03E-34
-17.713,0.0105,6.73E-35,2.21E-34,2.21E-34,8.44E-34
-17.674,0.0105,7.09E-35,2.32E-34,2.32E-34,8.89E-34
-17.635,0.0105,7.43E-35,2.43E-34,2.43E-34,9.33E-34
-17.595,0.0105,7.57E-35,2.45E-34,2.45E-34,9.50E-34
-17.556,0.0105,7.55E-35,2.42E-34,2.42E-34,9.47E-34
-17.517,0.0105,7.50E-35,2.39E-34,2.39E-34,9.41E-34
-17.477,0.0105,7.39E-35,2.33E-34,2.33E-34,9.28E-34
-17.437,0.0105,7.23E-35,2.26E-34,2.26E-34,9.08E-34
-17.398,0.0105,7.07E-35,2.19E-34,2.19E-34,8.90E-34
-17.365,0.0105,7.04E-35,2.16E-34,2.16E-34,8.87E-34
-17.358,0.0105,7.04E-35,2.16E-34,2.16E-34,8.88E-34
-17.319,0.0105,7.07E-35,2.16E-34,2.16E-34,8.93E-34
-17.279,0.0105,7.10E-35,2.16E-34,2.16E-34,8.99E-34
-17.237,0.0105,7.17E-35,2.16E-34,2.16E-34,9.10E-34
-17.201,0.0105,7.27E-35,2.18E-34,2.18E-34,9.23E-34
-17.161,0.0105,7.41E-35,2.21E-34,2.21E-34,9.43E-34
-17.106,0.0105,7.64E-35,2.26E-34,2.26E-34,9.73E-34
-17.048,0.0105,7.88E-35,2.32E-34,2.32E-34,1.00E-33
-17.003,0.0105,8.21E-35,2.41E-34,2.41E-34,1.05E-33
-16.964,0.0105,8.56E-35,2.51E-34,2.51E-34,1.09E-33
-16.964,0.0105,8.56E-35,2.51E-34,2.51E-34,1.09E-33
-16.924,0.0105,8.98E-35,2.63E-34,2.63E-34,1.15E-33
-16.886,0.0105,9.35E-35,2.73E-34,2.73E-34,1.19E-33
-16.806,0.0105,1.00E-34,2.90E-34,2.90E-34,1.28E-33
-16.767,0.0105,1.03E-34,2.99E-34,2.99E-34,1.32E-33
-16.728,0.0105,1.06E-34,3.06E-34,3.06E-34,1.36E-33
-16.688,0.0105,1.09E-34,3.12E-34,3.12E-34,1.39E-33
-16.648,0.0105,1.11E-34,3.17E-34,3.17E-34,1.42E-33
-16.606,0.0105,1.14E-34,3.22E-34,3.22E-34,1.45E-33
-16.569,0.0105,1.16E-34,3.26E-34,3.26E-34,1.48E-33
-16.53,0.0105,1.18E-34,3.31E-34,3.31E-34,1.50E-33
-16.49,0.0105,1.19E-34,3.33E-34,3.33E-34,1.52E-33
-16.451,0.0105,1.19E-34,3.29E-34,3.29E-34,1.52E-33
-16.412,0.0105,1.18E-34,3.22E-34,3.22E-34,1.51E-33
-16.371,0.0105,1.18E-34,3.17E-34,3.17E-34,1.50E-33
-16.293,0.0105,1.17E-34,3.09E-34,3.09E-34,1.50E-33
-16.256,0.0105,1.17E-34,3.05E-34,3.05E-34,1.50E-33
