Time       Trigger  Sample
-0.00930    0.10    6.44
-0.00929    0.10    6.44
-0.00928    0.12    6.48
-0.00927    0.12    6.44
-0.00926    0.12    6.44
-0.00925    0.10    6.48
-0.00924    0.10    6.44
-0.00923    0.10    6.44
-0.00922    0.10    6.48
-0.00921    0.10    6.48
-0.00920    0.10    6.44
-0.00919    0.10    6.44
-0.00918    0.10    6.44
-0.00917    0.12    6.44
-0.00916    0.10    6.48
-0.00915    0.02    6.48
-0.00914    0.10    6.44
-0.00913    0.10    6.44
-0.00912    0.10    6.44
-0.00911    0.10    6.48
-0.00910    0.10    6.44
-0.00909    0.12    6.44
-0.00908    0.06    6.44
-0.00907    0.10    6.44
-0.00906    0.12    6.48
-0.00905    0.10    6.44
-0.00904    0.10    6.48
-0.00903    0.12    6.48
-0.00902    0.10    6.44
-0.00901    0.12    6.44
-0.00900    0.10    6.48
-0.00899    0.12    6.44
-0.00898    0.10    6.48
-0.00897    0.10    6.44
-0.00896    0.16    6.48
-0.00895    0.10    6.44
-0.00894    0.10    6.48
-0.00893    0.10    6.44
-0.00892    0.10    6.44
-0.00891    0.10    6.44
-0.00890    0.10    6.48
-0.00889    0.04    6.44
-0.00888    0.10    6.44
-0.00887    0.10    6.44
-0.00886    0.10    6.44
-0.00885    0.10    6.44
-0.00884    0.10    6.48
-0.00883    0.10    6.48
-0.00882    0.10    6.48
-0.00881    0.10    6.48
-0.00880    0.10    6.44
-0.00879    0.10    6.48
-0.00878    0.12    6.44
-0.00877    0.10    6.48
-0.00876    0.10    6.48
-0.00875    0.12    6.44
-0.00874    0.12    6.44
-0.00873    0.10    6.48
-0.00872    0.10    6.44
-0.00871    0.12    6.48
-0.00870    0.12    6.44
-0.00869    0.10    6.48
-0.00868    0.10    6.44
-0.00867    0.12    6.44
-0.00866    0.12    6.44
-0.00865    0.10    6.44
-0.00864    0.12    6.48
-0.00863    0.10    6.44
-0.00862    0.10    6.48
-0.00861    0.10    6.48
-0.00860    0.10    6.44
-0.00859    0.12    6.48
-0.00858    0.12    6.48
-0.00857    0.00    6.44
-0.00856    0.10    6.48
-0.00855    0.10    6.48
-0.00854    0.12    6.48
-0.00853    0.10    6.44
-0.00852    0.10    6.44
-0.00851    0.06    6.48
-0.00850    0.10    6.44
-0.00849    0.12    6.48
-0.00848    0.12    6.44
-0.00847    0.10    6.44
-0.00846    0.10    6.44
-0.00845    0.10    6.44
-0.00844    0.10    6.48
-0.00843    0.10    6.44
-0.00842    0.10    6.48
-0.00841    0.10    6.44
-0.00840    0.10    6.44
-0.00839    0.10    6.48
-0.00838    0.10    6.44
-0.00837    0.10    6.48
-0.00836    0.10    6.44
-0.00835    0.10    6.44
-0.00834    0.10    6.48
-0.00833    0.10    6.44
-0.00832    0.10    6.48
-0.00831    0.10    6.44
-0.00830    0.10    6.44
-0.00829    0.10    6.44
-0.00828    0.12    6.44
-0.00827    0.10    6.48
-0.00826    0.10    6.44
-0.00825    0.10    6.44
-0.00824    0.10    6.44
-0.00823    0.10    6.48
-0.00822    0.10    6.44
-0.00821    0.12    6.44
-0.00820    0.10    6.44
-0.00819    0.10    6.44
-0.00818    0.02    6.44
-0.00817    0.10    6.48
-0.00816    0.10    6.44
-0.00815    0.10    6.48
-0.00814    0.10    6.48
-0.00813    0.10    6.44
-0.00812    0.12    6.44
-0.00811    0.12    6.44
-0.00810    0.10    6.48
-0.00809    0.10    6.44
-0.00808    0.10    6.44
-0.00807    0.10    6.44
-0.00806    0.10    6.48
-0.00805    0.10    6.44
-0.00804    0.12    6.48
-0.00803    0.10    6.48
-0.00802    0.10    6.44
-0.00801    0.10    6.48
-0.00800    0.10    6.44
-0.00799    0.14    6.44
-0.00798    0.12    6.44
-0.00797    0.12    6.48
-0.00796    0.10    6.44
-0.00795    0.12    6.44
-0.00794    0.10    6.48
-0.00793    0.10    6.44
-0.00792    0.10    6.44
-0.00791    0.12    6.44
-0.00790    0.10    6.44
-0.00789    0.10    6.44
-0.00788    0.10    6.44
-0.00787    0.12    6.44
-0.00786    0.10    6.48
-0.00785    0.12    6.44
-0.00784    0.10    6.48
-0.00783    0.10    6.44
-0.00782    0.10    6.44
-0.00781    0.10    6.48
-0.00780    0.10    6.48
-0.00779    0.10    6.44
-0.00778    0.10    6.48
-0.00777    0.12    6.44
-0.00776    0.10    6.44
-0.00775    0.10    6.48
-0.00774    0.12    6.48
-0.00773    0.12    6.44
-0.00772    0.10    6.44
-0.00771    0.10    6.48
-0.00770    0.10    6.44
-0.00769    0.10    6.48
-0.00768    0.10    6.44
-0.00767    0.10    6.44
-0.00766    0.12    6.48
-0.00765    0.10    6.48
-0.00764    0.10    6.48
-0.00763    0.12    6.44
-0.00762    0.10    6.44
-0.00761    0.12    6.44
-0.00760    0.10    6.44
-0.00759    0.10    6.48
-0.00758    0.10    6.48
-0.00757    0.10    6.44
-0.00756    0.10    6.44
-0.00755    0.12    6.44
-0.00754    0.16    6.44
-0.00753    0.10    6.48
-0.00752    0.10    6.44
-0.00751    0.10    6.44
-0.00750    0.10    6.44
-0.00749    0.10    6.48
-0.00748    0.12    6.44
-0.00747    0.10    6.44
-0.00746    0.10    6.44
-0.00745    0.10    6.44
-0.00744    0.10    6.44
-0.00743    0.10    6.44
-0.00742    0.10    6.48
-0.00741    0.12    6.44
-0.00740    0.10    6.44
-0.00739    0.10    6.48
-0.00738    0.10    6.44
-0.00737    0.12    6.48
-0.00736    0.12    6.48
-0.00735    0.12    6.44
-0.00734    0.10    6.48
-0.00733    0.10    6.44
-0.00732    0.12    6.44
-0.00731    0.10    6.48
-0.00730    0.12    6.48
-0.00729    0.10    6.44
-0.00728    0.12    6.44
-0.00727    0.12    6.48
-0.00726    0.10    6.44
-0.00725    0.12    6.48
-0.00724    0.12    6.44
-0.00723    0.10    6.44
-0.00722    0.10    6.44
-0.00721    0.22    6.48
-0.00720    0.10    6.44
-0.00719    0.12    6.44
-0.00718    0.12    6.44
-0.00717    0.10    6.44
-0.00716    0.12    6.44
-0.00715    0.06    6.44
-0.00714    0.10    6.44
-0.00713    0.10    6.48
-0.00712    0.10    6.44
-0.00711    0.12    6.44
-0.00710    0.12    6.44
-0.00709    0.10    6.44
-0.00708    0.10    6.44
-0.00707    0.10    6.44
-0.00706    0.10    6.44
-0.00705    0.10    6.44
-0.00704    0.10    6.44
-0.00703    0.10    6.44
-0.00702    0.12    6.44
-0.00701    0.10    6.44
-0.00700    0.10    6.48
-0.00699    0.10    6.44
-0.00698    0.10    6.44
-0.00697    0.10    6.44
-0.00696    0.10    6.44
-0.00695    0.10    6.44
-0.00694    0.10    6.44
-0.00693    0.10    6.44
-0.00692    0.10    6.44
-0.00691    0.10    6.48
-0.00690    0.12    6.44
-0.00689    0.10    6.48
-0.00688    0.10    6.44
-0.00687    0.10    6.44
-0.00686    0.10    6.44
-0.00685    0.10    6.44
-0.00684    0.10    6.48
-0.00683    0.10    6.48
-0.00682    0.10    6.48
-0.00681    0.12    6.44
-0.00680    0.12    6.44
-0.00679    0.12    6.44
-0.00678    0.12    6.48
-0.00677    0.10    6.44
-0.00676    0.12    6.48
-0.00675    0.10    6.44
-0.00674    0.10    6.48
-0.00673    0.10    6.44
-0.00672    0.12    6.44
-0.00671    0.10    6.44
-0.00670    0.12    6.48
-0.00669    0.12    6.48
-0.00668    0.10    6.48
-0.00667    0.10    6.48
-0.00666    0.12    6.44
-0.00665    0.12    6.48
-0.00664    0.10    6.44
-0.00663    0.04    6.44
-0.00662    0.10    6.48
-0.00661    0.12    6.48
-0.00660    0.10    6.44
-0.00659    0.12    6.44
-0.00658    0.12    6.48
-0.00657    0.08    6.44
-0.00656    0.10    6.44
-0.00655    0.10    6.44
-0.00654    0.12    6.44
-0.00653    0.10    6.44
-0.00652    0.10    6.44
-0.00651    0.10    6.44
-0.00650    0.12    6.48
-0.00649    0.12    6.48
-0.00648    0.10    6.44
-0.00647    0.12    6.48
-0.00646    0.10    6.48
-0.00645    0.10    6.48
-0.00644    0.10    6.44
-0.00643    0.12    6.48
-0.00642    0.12    6.44
-0.00641    0.10    6.44
-0.00640    0.12    6.48
-0.00639    0.12    6.44
-0.00638    0.08    6.44
-0.00637    0.12    6.44
-0.00636    0.10    6.44
-0.00635    0.10    6.48
-0.00634    0.12    6.44
-0.00633    0.10    6.44
-0.00632    0.10    6.44
-0.00631    0.12    6.44
-0.00630    0.12    6.48
-0.00629    0.10    6.44
-0.00628    0.10    6.44
-0.00627    0.10    6.48
-0.00626    0.10    6.44
-0.00625    0.10    6.44
-0.00624    0.12    6.44
-0.00623    0.10    6.44
-0.00622    0.10    6.44
-0.00621    0.12    6.44
-0.00620    0.10    6.44
-0.00619    0.10    6.48
-0.00618    0.06    6.44
-0.00617    0.10    6.44
-0.00616    0.10    6.48
